term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,sr,sv,zh
705-01-01,field,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-01,مجال,"Feld, n",field,campo,"champ, m",campo,場,장계,"pole, n",campocampo escalar,,fält,场
705-01-02,propagation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-02,انتشار,"Ausbreitung, f",propagation,propagación,"propagation, f",propagazione,伝搬,전파,propagacja,propagação,,,传播
705-01-03,wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-03,موجة,"Welle, f",wave,onda,"onde, f",onda,波,파파동,fala,onda,,våg,波
705-01-04,velocity (vector) of propagation (of a wave),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-04,سرعة (متجه) الانتشار (لموجة),"Ausbreitungsgeschwindigkeit, <einer Welle> f",velocity (vector) of propagation (of a wave),(vector) velocidad de propagación (de una onda),"(vecteur) vitesse de propagation (d'une onde), f",velocità di propagazione (di un'onda),波の伝搬速度ベクトル伝搬速度,"전파 속도, <파의 >?",prędkość propagacji fali,(vector) velocidade de propagação (de uma onda),,,"传播的速度矢量, <波的>"
705-01-05,forward wavefront,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-05,مقدمة الموجة الأمامية,"vordere Wellenfront, f",forward wavefront,frente de ondas anterior,"front d'onde avant, m",fronte d'onda anteriore,前方波頭,전방 파면,czoło fali przednie,frente de onda anterior,,främre vägfront,正向波前
705-01-06,backward wavefront,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-06,مقدمة الموجة الخلفية,"hintere Wellenfront, f",backward wavefront,frente de ondas posterior,"front d'onde arrière, m",fronte d'onda posteriore,後方波頭,후방 파면,czoło fali tylne,frente de onda posterior,,bakre vägfront,反向波前
705-01-07,electromagnetic field,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-07,مجال كهرومغناطيسى,"elektromagnetisches Feld, n",electromagnetic field,campo electromagnético,"champ électromagnétique, m",campo elettromagnetico,電磁界,전자장,"pole elektromagnetyczne, n",campo eletromagnético,,elektromagnetiskt fält,电磁场
705-01-08,"Maxwell's equations, pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-08,معادلات ماكسويل,"Maxwell-Gleichungen, f pl","Maxwell's equations, pl",ecuaciones de Maxwell,"équations de Maxwell, f pl",equazioni di Maxwell,"マックスウェルの方程式, 複数形",맥스웰 방정식,"równania Maxwella, n pl",equações de Maxwell,,MaxwelIs ekvationer,麦克斯韦方程组
705-01-09,electromagnetic wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-09,موجة كهرومغناطيسية,"elektromagnetische Welle, f",electromagnetic wave,onda electromagnética,"onde électromagnétique, f",onda elettromagnetica,電磁波,전자기파,"fala elektromagnetyczna, f",onda eletromagnética,,elektromagnetisk väg,电磁波
705-01-10,radio wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-10,موجة لاسلكية,"Funkwelle, f",radio wave,onda de radio,"onde radioélectrique, fonde hertzienne, f",radioonda,電波,전파라디오 파,fala radiowa,onda radioeléctricaonda hertziana,,radiovåg,无线电波
705-01-11,radio propagation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-11,إنتشار لاسلكي,"Funkwellenausbreitung, f",radio propagation,propagación radioeléctrica,"propagation radioélectrique, f",radiopropagazione,電波伝搬,전파 전송,propagacja radiowa,propagação radioeléctrica,,radiovågsutbredning,无线电传播
705-01-12,(electromagnetic) mode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-12,نمط (كهرومغناطيسي),"Mode, melektromagnetischer Wellentyp, mWellentyp, m",(electromagnetic) mode,modo (electromagnético),"mode (électromagnétique), m",modo (elettromagnetico),電磁界モードモード,전자기 모드,rodzaj pola elektromagnetycznegomod pola elektromagnetycznego,modo (electromagnético),,modvågtyp,"模, <电磁>"
705-01-13,"polarization, <of an electromagnetic wave>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-13,"استقطاب, <لموجة كهرومغناطيسية>","Polarisation, <einer elektromagnetischen Welle> f","polarization, <of an electromagnetic wave>",polarización,"polarisation, <d'une onde ou d'un vecteur de champ> f",polarizzazione (di un'onda e.m.),"偏波, <電磁波の>","편파, <전자기파>","polaryzacja fali elektromagnetycznej, fpolaryzacja, f","polarização, <de uma onda eletromagnética>",,polarisation,"极化, <电磁波的>"
705-01-14,linear polarization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-14,إستقطاب خطى,"lineare Polarisation, f",linear polarization,polarización lineal,"polarisation rectiligne, fpolarisation linéaire (terme déconseillé) f",polarizzazione lineare,直線偏波,선형 편파,polaryzacja linearna,polarização linear,,linjär polarisation,线极化
705-01-15,horizontal polarization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-15,إستقطاب أفقي,"horizontale Polarisation, f",horizontal polarization,polarización horizontal,"polarisation horizontale, f",polarizzazione orizzontale,水平偏波,수평 편파,polaryzacja pozioma,polarização horizontal,,horisontalpolarisation,水平极化
705-01-16,vertical polarization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-16,إستقطاب رأسي,"vertikale Polarisation, f",vertical polarization,polarización vertical,"polarisation verticale, f",polarizzazione verticale,垂直偏波,수직 편파,polaryzacja pionowa,polarização vertical,,,垂直极化
705-01-17,elliptical polarization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=705-01-17,استقطاب بيضاوىاستقطاب إهليلجي,"elliptische Polarisation, f",elliptical polarization,polarización elíptica,"polarisation elliptique, f",polarizzazione ellittica,楕円偏波,타원 편파,"polaryzacja eliptyczna, f",polarização elíptica,,elliptisk polarisation,椭圆极化
