term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sl,sv,zh
712-01-01,antenna,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-01-01,هوائى,"Antenne, f",antennaaerial (deprecated),antena,antenni,"antenne, faérien (terme à proscrire dans ce sens) msystème d'antenne (terme déconseillé dans ce sens) m",antenna,アンテナ,안테나,antena,antena,antena,antenn,天线
712-01-02,antenna system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-01-02,نظام هوائى,"Antennensystem, n",antenna system,sistema de antena,antennilaitteisto,"antenne, fsystème d'antenne, m",sistemi d'antenna,アンテナ方式,안테나 시스템,zestaw antenowy,sistema de antena,antenski sistem,antennsystem,天线系统
712-01-03,(multiple) antenna system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-01-03,نظام هوائى (متعدد),"Mehrfach-Antennensystem, n",(multiple) antenna system,sistema de antenas,antennijärjestelmä,"système d'antennes, m",sistema d'antenne,多重アンテナ方式,복수 안테나 시스템,zespół antenowy,sistema de antenas,večantenski sistem,antennanläggning,多天线系统
712-01-04,radiating element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-01-04,عنصر مشع,"Strahlerelement, n",radiating element,elemento radiante,antennielementti,"élément rayonnant, m",elemento irradiante,放射素子,방사 소자,element promieniujący,elemento radiante,sevalni element antene,antennelementstrålare,辐射单元
712-01-05,array (antenna),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-01-05,مصفوفة (هوائي),"Gruppenantenne, fGruppe, fAntennengruppe, f",array (antenna)antenna array,conjuntoconjunto de antenas,antenniryhmä,"(antenne) (en) réseau, mréseau d'antennes (terme déconseillé) m",antenna a schiera,アレイ,"배열, <안테나>안테나 배열",układ antenowy układ,agregado (de antenas),antenski nizantenska skupina,gruppantenn,阵天线阵
712-01-06,linear array (antenna),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-01-06,مصوفة خطية (هوائي),"Lineargruppenantenne, fLineargruppe, f",linear array (antenna),conjunto lineal (de antenas),lineaarinen ryhmälineaarinen antenniryhmä,"(antenne en) réseau rectiligne, m",schiera lineare,リニアアレイ,"직선 배열, <안테나>",układ antenowy liniowy  układ liniowy,agregado linear (de antenas),premi antenski nizlinearni antenski nizprema antenska skupinalinearna antenska skupina,linjär gruppantenn,直线阵天线
712-01-07,planar array (antenna),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-01-07,مصوفة مستويه (هوائي),"Planargruppenantenne, febene Gruppenantenne, febene Gruppe, f",planar array (antenna),conjunto plano (de antenas),tasomainen ryhmätasomainen antenniryhmätasoryhmä,"(antenne en) réseau plan, m",schiera piana,平面アレイ,"평면 배열, <안테나>",układ  płaszczyznowy (antenowy),agregado plano (de antenas),ravninski antenski nizravninska antenska skupina,plan gruppantenn,平面阵天线
712-01-08,conical array,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-01-08,مصوفة مخروطيه,"kegelförmige Gruppenantenne, f",conical array,conjunto cónico (de antenas),kartiomainen ryhmäkartiomainen antenniryhmä,"groupement conique (d'antennes), m",schiera conica,円錐アレイ,원뿔형 배열,układ stożkowy (antenowy),agregado cónico (de antenas),stožčni antenski nizstožčna antenska skupina,konisk gruppantenn,圆锥形阵天线
712-01-09,cylindrical array,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-01-09,مصوفة إسطوانيه,"zylindrische Gruppenantenne, f",cylindrical array,conjunto cilíndrico (de antenas),sylinterimäinen ryhmäsylinterimäinen antenniryhmä,"groupement cylindrique (d'antennes), m",schiera cilindrica,円筒アレイ,원통 배열,układ cylindryczny (antenowy),agregado cilíndrico (de antenas),valjni antenski nizvaljna antenska skupina,cylindrisk gruppantenn,圆柱形阵天线
712-01-10,spherical array,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=712-01-10,مصوفة كرويه,"sphärische Gruppenantenne, f",spherical array,conjunto esférico (de antenas),pallomainen ryhmäpallomainen antenniryhmä,"groupement sphérique (d'antennes), m",schiera sferica,球面アレイ,구면형 배열,układ kulisty (antenowy),agregado esférico (de antenas),krogelni antenski nizkrogelna antenska skupina,sfärisk gruppantenn,球形阵天线
