term_id,term,term_url,ar,cs,de,en,es,fi,fr,it,ja,ko,pl,pt,sv,zh
713-01-01,radio wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-01-01,موجة راديوية,rádiová vlna,"Funkwelle, f",radio wave,onda radioeléctrica,radioaalto,"onde radioélectrique, fonde hertzienne, f",onda radio,電波,전파,fala radiowa,onda radioeléctricaonda hertziana,radiovåg,无线电波
713-01-02,radiocommunication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-01-02,اتصال راديوي,radiokomunikacerádiová komunikace,"Funk, mFunkverkehr, m",radiocommunication,radiocomunicación,radioliikenne,"radiocommunication, f",radiocomunicazioni,無線通信,무선통신,radiokomunikacja,radiocomunicação,radiokommunikation,无线电通信
713-01-03,radio astronomy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-01-03,علم الفلك الراديوي,radioastronomierádiová astronomie,"Radioastronomie, f",radio astronomy,radioastronomía,radioastronomia,"radioastronomie, f",radioastronomia,電波天文学,전파 천문학,radioastronomia,radioastronomia,radioastronomi,射电天文学
713-01-04,major portion of the Earth's atmosphere,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-01-04,الجزء الرئيس من الغلاف الجوىالمحيط بالارض,hlavní část zemské atmosféry,"Hauptteil der Erdatmosphäre, m",major portion of the Earth's atmosphere,parte principal de la atmósfera terrestre,maan ilmakehän pääosa,"partie principale de l'atmosphère terrestre, f",parte principale dell'atmosfera terrestre,地球大気圏,지구 대기권의 주요 부분,warstwa główna atmosfery ziemskiej,parte principal da atmosfera terrestre,jordatmosfärens huvuddel,地球大气层的主要部分
713-01-05,space radiocommunication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-01-05,اتصال راديوي فضائي,kosmické radiokomunikace,"Weltraumfunk, m",space radiocommunication,radiocomunicación espacial,avaruusradioliikenne,"radiocommunication spatiale, f",radiocomunicazioni spaziali  ricevitore a conversione di frequenza,宇宙無線通信,우주 무선 통신,radiokomunikacja kosmiczna,radiocomunicação espacial,rymdradiokommunikation,空间无线电通信
713-01-06,terrestrial radiocommunication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-01-06,اتصال راديوي أرضي,zemské radiokomunikace,"terrestrischer Funk, m",terrestrial radiocommunication,radiocomunicación terrenal,maanpäällinen radioliikenne,"radiocommunication de Terre, f",radiocomunicazioni terrestri,地上無線通信,지상 전파 통신,radiokomunikacja naziemna radiokomunikacja ziemska,radiocomunicação de Terra,terrester radiokommunikation,地面无线电通信
713-01-07,satellite communication (by common usage),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-01-07,اتصال بالقمر الصناعي (للاستخدام العام),"družicové komunikace, <podle obecného užití>","Satellitenfunk, m",satellite communication (by common usage),telecomunicación por satélite,satelliittiradioliikenne,télécommunication par satellite (dans le langage courant) f,telecomunicazioni via satellite,"衛星通信, <共通利用による>","위성통신, <일반적인 용법>",łączność satelitarna telekomunikacja satelitarna,comunicação por satélite (na linguagem corrente),satellitkommunikation,"卫星通信, <普通用途的>"
713-01-08,radiocommunication service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-01-08,خدمة الاتصال الراديوي,radiokomunikační služba,"Funkdienst, m",radiocommunication service,servicio de radiocomunicación,radioliikenne,"service de radiocommunication, m",servizio di radiocomunicazioni,無線通信業務,전파통신 서비스무선통신 서비스,usługa radiokomunikacyjna,serviço de radiocomunicação,kommunikationsradio,无线电通信业务
713-02-01,(radio) station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-01,محطة ( راديوية),(rádiová) stanice,"Funkstelle, f",(radio) station,estación (radioeléctrica),radioasema,"station (radioélectrique), f",stazione radio,無線局局,무선국,stacja radiowa stacja,estação (radioeléctrica),radiostation,无线电台
713-02-02,transmitting station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-02-02,محطة ارسال,vysílací stanice,"Sendestelle, f",transmitting station,estación transmisora,lähetysasema,"station d'émission, fstation émettrice, f",stazione trasmittente,送信所,송신국,stacja nadawcza,estação emissora,sändarstation,发射台
