term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sl,sv,zh
725-11-01,spacecraft,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-01,مركبة فضائية,"Weltraumfahrzeug, nRaumflugkörper, m",spacecraft,nave espacial,avaruusalus,"engin spatial, mspationef, m",veicolo spaziale,宇宙機,우주선,pojazd kosmiczny,engenho espacial,vesoljsko plovilo,rymdfarkost,航天器
725-11-02,deep space,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-02,فضاء بعيد,"ferner Weltraum, mTiefraum, m",deep space,espacio lejano,ulkoavaruus,"espace lointain, m",spazio lontano,深宇宙,심우주,kosmos głęboki,espaço longínquo,globoko vesolje,fjärrymdyttre rymden,深空
725-11-03,space probe,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-03,مِسبار فضائي,"Weltraumsonde, f",space probe,sonda espacial,avaruusluotain,"sonde spatiale, f",sonda spaziale,宇宙探査機,우주 탐색기,sonda kosmiczna,sonda espacial,vesoljska sonda,rymdsond,空间探测器
725-11-04,deep space probe,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-04,مسبار فضاء بعيدِ,"Tiefraumsonde, f",deep space probe,sonda espacial lejana,ulkoavaruusluotain,"sonde spatiale lointaine, f",sonda di spazio lontano,深宇宙探査機,심우주 탐사기,sonda głębokiego kosmosu,sonda espacial longínqua,sonda za globoko vesolje,fjärrymdsond,深空探测器
725-11-05,satellite,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-05,قمر صناعي,"Satellit, m",satellite,satélite,satelliitti,"satellite, m",satellite,衛星,위성,satelita,satélite,satelit,satellit,卫星
725-11-06,primary body (in relation to a satellite),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-06,جسم أساسي (فيما يتعلق بقمر صناعي),"Zentralkörper, <in Bezug auf einen Satelliten> m",primary body (in relation to a satellite),cuerpo principal (de un satélite),keskuskappale,corps principal (pour un satellite) m,corpo principale (per un satellite),"主天体, <衛星に関する>","기본체, <위성 관련>",ciało główne (w odniesieniu do satelity),corpo primário (para um satélite),osnovno telo (v odnosu do satelita),centralkroppprimärkropp,"主天体, <相对于卫星的>"
725-11-07,orbit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-07,مدار,"Umlaufbahn, fOrbit, m",orbit,órbita,rata,"orbite, f",orbita,軌道,궤도,orbita,órbita,orbitatirnica,(krets) banakretsbanaomloppsbana,轨道
725-11-08,unperturbed orbit (of a satellite),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-08,مدار غير مضطرب (لقمر صناعي),"ungestörte Umlaufbahn, <eines Satelliten> f",unperturbed orbit (of a satellite),órbita no perturbada (de un satélite),häiriintymätön rata,orbite non perturbée (d'un satellite) f,orbita non perturbata (di un satellite),"非摂動軌道, <衛星の>","비섭동 궤도, <위성>",orbita niezakłócona (satelity),órbita não perturbada (de um satélite),nemotena orbita (satelita),ostörd bana,"无摄动轨道, <卫星的>"
725-11-09,(principal) reference plane (for a body in space),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-09,مستوى مرجعي (رئيسي) (لجسم في الفضاء),"Hauptbezugsebene, <eines Weltraumkörpers> fBezugsebene, <eines Weltraumkörpers> f",(principal) reference plane (for a body in space) (basic) reference plane (for a body in space),plano fundamental de referencia (para un cuerpo en el espacio)plano principal de referencia (para un cuerpo en el espacio),vertailutaso,plan fondamental (d'un objet dans l'espace) mplan principal de référence  (d'un objet dans l'espace) m,piano di riferimento (per un corpo nello spazio),"主基準面, <宇宙物体に対する>基本基準面, <宇宙物体に対する>基準面, <宇宙物体に対する>","주 기준면, <우주>기본 기준면, <우주>",płaszczyzna odniesienia podstawowa (dla ciała w kosmosie) płaszczyzna odniesienia (dla ciała w kosmosie),plano (principal) de referência (de um objecto no espaço),(osnovna) referenčna ravnina (za telo v vesolju),referensplan,"主参考面, <对于宇宙空间的天体>基本参考面, <对于宇宙空间的天体>"
725-11-10,orbital elements,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-10,عناصر مداريّة,"Bestimmungsgrößen der Umlaufbahn, f, pl",orbital elements,elementos orbitales,rataelementit,"éléments orbitaux, m pl",parametri orbitali,軌道要素,궤도 요소,elementy orbity (satelity),parâmetros orbitais,orbitni elementielementi orbite,banparametrar,轨道要素
725-11-11,orbital plane (of a satellite),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-11,مستوي مدار (لقمر صناعي),"Orbitebene, <eines Satelliten> f",orbital plane (of a satellite),plano orbital (de un satélite),ratataso,plan de l'orbite (d'un satellite) m,piano orbitale (di un satellite),"軌道面, <衛星の>","궤도면, <위성>",płaszczyzna orbity satelity,plano da órbita (de um satélite),orbitna ravnina (satelita),banplan,"轨道面, <卫星的>"
725-11-12,direct orbit (of a satellite),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-12,مدار مباشر (لقمر صناعي),"Vorwärts-Umlaufbahn, <eines Satelliten> f",direct orbit (of a satellite),órbita directa (de un satélite),myötärata,orbite directe (de satellite) f,orbita diretta (di un satellite),"順行軌道, <衛星の>","순행 궤도, <위성>",orbita zgodna (satelity),órbita directa (de um satélite),direktna orbita (satelita),direkt bana,"正向轨道, <卫星的>"
725-11-13,retrograde orbit (of a satellite),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-13,مدار تراجعي (لقمر صناعي),"Rückwärts-Umlaufbahn, <eines Satelliten> fretrograde Umlaufbahn, <eines Satelliten> f",retrograde orbit (of a satellite),órbita retrógrada (de un satélite),vastarata,orbite rétrograde (de satellite) f,orbita inversa (di un satellite),"逆行軌道, <衛星の>","역행 궤도, <위성>",orbita przeciwna (satelity),órbita retrógrada (de um satélite),retrogradna orbita (satelita)(nasprotna) orbita (satelita),retrograd bana,"反向轨道, <卫星的>"
725-11-14,circular orbit (of a satellite),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-14,مدار دائري (لقمر صناعي),"kreisförmige Umlaufbahn, <eines Satelliten> fKreisbahn, <eines Satelliten> f",circular orbit (of a satellite),órbita circular (de un satélite),ympyrärata,orbite circulaire (de satellite) f,orbita circolare (di un satellite),"円軌道, <衛星の>","원궤도, <위성>",orbita kołowa (satelity),órbita circular (de um satélite),krožna orbita (satelita),cirkulär bana,"圆轨道, <卫星的>"
725-11-15,elliptical orbit (of a satellite),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-15,مدار اهليلجي ،بيضوي (لقمر صناعي),"elliptische Umlaufbahn, <eines Satelliten> f",elliptical orbit (of a satellite),órbita elíptica (de un satélite),ellipsirata,orbite elliptique (de satellite) f,orbita ellittica (di un satellite),"だ（楕）円軌道, <衛星の>","타원 궤도, <위성>",orbita eliptyczna (satelity),órbita elíptica (de um satélite),eliptična orbita (satelita),elliptisk bana,"椭圆轨道, <卫星的>"
725-11-16,equatorial orbit (of a satellite),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-16,مدار استوائي (لقمر صناعي),"äquatoriale Umlaufbahn, <eines Satelliten> f",equatorial orbit (of a satellite),órbita ecuatorial (de un satélite),ekvaattorirata,orbite équatoriale (de satellite) f,orbita equatoriale (di un satellite),"赤道軌道, <衛星の>","적도 궤도, <위성>",orbita równikowa (satelity),órbita equatorial (de um satélite),ekvatorialna orbita (satelita),ekvatoriell bana,"赤道轨道, <卫星的>"
725-11-17,polar orbit (of a satellite),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-17,مدار قطبي (لقمر صناعي),"polare Umlaufbahn, <eines Satelliten> f",polar orbit (of a satellite),órbita polar (de un satélite),polaarirata,orbite polaire (de satellite) f,orbita polare (di un satellite),"極軌道, <衛星の>","극궤도, <위성>",orbita biegunowa (satelity),órbita polar (de um satélite),polarna orbita (satelita),polär bana,"极轨道, <卫星的>"
725-11-18,inclined orbit (of a satellite),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-18,مدار مائل (لقمر صناعي),"geneigte Umlaufbahn, <eines Satelliten> f",inclined orbit (of a satellite),órbita inclinada (de un satélite),kalteva rata,orbite inclinée (de satellite) f,orbita inclinata (di un satellite),"傾斜軌道, <衛星の>","경사 궤도, <위성>",orbita nachylona (satelity),órbita inclinada (de um satélite),nagnjena orbita (satelita),inklinerad bana,"倾斜轨道, <卫星的>"
725-11-19,parking orbit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-19,مدار انتظار,"Parkbahn, f",parking orbit,órbita de espera,odotusrata,"orbite d'attente, f",orbita di parcheggio,"待機軌道, <衛星の>",대기 궤도,orbita parkowania (satelity),órbita de espera (de um satélite),parkirna orbita,väntbana,停泊轨道
725-11-20,transfer orbit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-20,مدار انتقال,"Transferbahn, fÜbergangsbahn, f",transfer orbit,órbita de transferencia,siirtorata,"orbite de transfert, f",orbita di trasferimento,遷移軌道,전이 궤도,orbita przejściowa (satelity),órbita de transferência,vmesna (začasna) orbita,övergångsbana,转移轨道
725-11-21,inclination (of a satellite orbit),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-21,زاوية ميل (لمدار قمر صناعي),"Neigung, <einer Satellitenumlaufbahn> fInklination, <einer Satellitenumlaufbahn> f",inclination (of a satellite orbit),inclinación (de la órbita de un satélite),inklinaatiokallistus,inclinaison (d'une orbite de satellite) f,inclinazione (dell'orbita di un satellite),"傾斜, <衛星軌道の>","경사도, <위성 궤도>",nachylenie (orbity satelity),inclinação (de uma órbita de satélite),nagib (nagnjenost) (satelitove orbite),inklination,"倾斜角, <卫星轨道的>"
725-11-22,ascending node (of a satellite),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-22,عقدة صاعدة  (لقمر صناعي),"aufsteigender Knoten, <eines Satelliten> m",ascending node (of a satellite),nodo ascendente (de un satélite),nouseva solmu,noeud ascendant (d'un satellite) m,nodo ascendente (di un satellite),"昇交点, <衛星の>","승교점, <위성>",węzeł wznoszenia (satelity),nó ascendente (de um satélite),rastoče sečišče (točka) (satelita),uppstigande nod,"升交点, <卫星的>"
725-11-23,descending node (of a satellite),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-23,عقدة هابطة (لقمر الصناعي ),"absteigender Knoten, <eines Satelliten> m",descending node (of a satellite),nodo descendente (de un satélite),laskeva solmu,noeud descendant (d'un satellite) m,nodo discendente (di un satellite),"降交点, <衛星の>","강교점, <위성>",węzeł zniżania (satelity),nó descendente (de um satélite),padajoče sečišče (satelita),nedstigande nod,"降交点, <卫星的>"
725-11-24,line of nodes (of a satellite),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-24,خَطّ عُقَدِ ( لقمر صناعي),"Knotenlinie, <eines Satelliten> f",line of nodes (of a satellite),línea de nodos (de un satélite),solmuviiva,ligne des noeuds (d'un satellite) f,linea dei nodi (di un satellite),"交点線, <衛星の>","교선, <위성>",linia węzłowa (satelity),linha dos nós (de um satélite),sečiščna črta (satelita),nodlinje,"交线, <卫星的>"
725-11-25,longitude of the ascending node (of an earth satellite),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-25,خط طول عقدةِ صُعُود (لقمر أرضِ صناعي),"Länge des aufsteigenden Knotens, <eines Erdsatelliten> f",longitude of the ascending node (of an earth satellite),longitud del nodo ascendente (de un satélite terrestre),nousevan solmun pituuspiiri,longitude (céleste) du noeud ascendant (d'un satellite de la Terre) f,longitudine del nodo ascendente (di un satellite),"昇交点経度, <地球衛星の>","승교점 경도, <인공위성>",długość geograficzna węzła wznoszenia (satelity),longitude do nó ascendente (de um satélite da Terra),dolžina rastočega sečišča (zemeljskega satelita),uppstigande nodens rectascension,"升交点经度, <地球卫星的>"
725-11-26,precession (of the orbit of a satellite),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-26,تقدم ( لمدار القمر الصناعي ),"Präzession, <der Umlaufbahn eines Satelliten> f",precession (of the orbit of a satellite),precesión (de la órbita de un satélite),huojuntaradan huojunta,précession (de l'orbite d'un satellite) f,precessione (dell'orbita di un satellite),"歳差, <衛星軌道の>","세차, <위성궤도>",precesja (orbity satelity),precessão (da órbita de um satélite),precesija (orbite satelita),banplansprecession,"岁差, <卫星轨道的>"
725-11-27,apoapsis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-27,أبعد نقطة في المدار من  الجسم الرئيسي,"Apoapside, f",apoapsis,apoápsideapoastro,apoapsis,"apoastre, mapside supérieur, fapoapside, f",apoapsideapside superiore,遠点,궤도 최원점,apoapsyda,apoápside,apoapsida,apoapsid,远质心点
725-11-28,periapsis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=725-11-28,اقرب نقطة في المدار الى الجسم الرئيسي,"Periapside, f",periapsis,periápsideperiastro,periapsis,"périastre, mapside inférieure , fpériapside, f",periapsideapside inferiore,近点,근점,peryapsyda,periápside,periapsida,periapsid,近质心点
