term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sv,zh
731-01-01,electromagnetic radiation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-01,إشعاع كهرومغناطيسي,"elektromagnetische Strahlung, f",electromagnetic radiation,radiación electromagnética,sähkömagneettinen säteily,"rayonnement électromagnétique, m",radiazione elettromagnetica,電磁放射,전자기 방사,promieniowanie elektromagnetyczne,radiação electromagnética,elektromagnetisk strålning,电磁辐射
731-01-02,photon,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-02,وحدة كم ضوئى,"Photon, n",photon,fotón,fotoni,"photon, m",fotone,光子,광자,foton,fotão,foton,光子
731-01-03,optical radiation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-03,اشعاع بصرىإشعاع ضوئي,"optische Strahlung, f",optical radiation,radiación óptica,optinen säteily,"rayonnement optique, m",radiazione ottica,光放射,광학 방사,promieniowanie optyczne,radiação óptica,optisk strålning,光辐射
731-01-04,light,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-04,ضوء إشعاع مرئي,"Licht, nsichtbare Strahlung, f",lightvisible radiation,luzradiación visible,valonäkyvä säteily,"lumière, frayonnement visible, m",luceradiazione visibile,光,빛가시 방사,światło promieniowanie widzialne,luzradiação visivel,ljus  synlig strålning,光可见辐射
731-01-05,infrared,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-05,تحت الحمراء,"Infrarot, nIR, Abkürzung",infraredIR (abbreviation),infrarrojoIR (abreviatura),infrapunasäteily,"(rayonnement) infrarouge, mIR (abréviation) m",infrarossoIR (abbreviazione),"赤外光IR, （略語）",적외선,podczerwień promieniowanie podczerwone IR (akronim),(radiação) infravermelhaIV (abreviatura),infrarödstrålning,红外辐射IR
731-01-06,ultraviolet,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-06,فوق البنفسجيه,"Ultraviolett, nUV, Abkürzung",ultravioletUV (abbreviation),ultravioletaUV (abreviatura),ultraviolettisäteily,"(rayonnement) ultraviolet, mUV (abréviation) m",ultraviolettoUV (abbreviazione),"紫外光UV, （略語）",자외선유브이,nadfioletpromieniowanie nadfioletowe UV (akronim),(radiação) ultravioletaUV (abreviatura),ultraviolettstrålning,紫外辐射UV
731-01-07,optical spectrum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-07,طيف بصريالطيف الضوئي,"optisches Spektrum, n",optical spectrum,espectro óptico,optinen spektri,"spectre optique, m",spettro ottico,光スペクトル,광스펙트럼,widmo optyczne,espectro óptico,optiskt spektrum,光谱
731-01-08,monochromatic radiation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-08,اشعاع احادي اللون,"monochromatische Strahlung, f",monochromatic radiation,radiación monocromática,monokromaattinen säteily,"rayonnement monochromatique, m",radiazione monocromatica,単色放射,단색 방사,promieniowanie monochromatyczne,radiação monocromática,monokromatisk strålning,单色辐射
731-01-09,coherence,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-09,تماسك,"Kohärenz, f",coherence,coherencia,koherenssi,"cohérence, <d'un rayonnement> f",coerenza,コヒーレンス,가간섭성,spójność koherencja,coerência (de uma radiação),koherens,相干性
731-01-10,coherent,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=731-01-10,متماسك,"kohärent, Adjektiv",coherent,coherente,koherentti,"cohérent, adj",coerente,コヒーレント,가간섭성,spójny koherentny,coerente,koherent,相干性的
