term_id,term,term_url,ar,cs,de,en,es,fi,fr,ja,ko,pl,pt,sr,sv,zh
732-01-01,network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-01,شبكة,síť,"Netzwerk, n",network,red,verkko,"réseau, m",ネットワーク,망,"sieć, f",rede,"мрежа, ж јд",nätverk,网络
732-01-02,networking,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-02,ربط الشبكات,networking,"Netztechnologie, f",networking,interconexión de redes,verkkotoiminta,"réseautique, f",ネットワーキング,네트워킹관계망 형성,techniki sieciowe,redótica,"умрежавање, с јд",nätverkande,组网技术
732-01-03,computer network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-03,شبكة حاسوبشبكة الحاسب,počítačová síť,"Rechnernetz, n",computer network,red de ordenadores,tietokoneverkko,"réseau d’ordinateurs, m",コンピュータネットワーク,컴퓨터망,sieć komputerowa,rede de computadores,"рачунарска мрежа, ж јд",datornätverk,计算机网络
732-01-04,local area network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-04,إختصار (LAN)شبكة الحاسب المحلية,lokální síťLAN,"lokales Netz, nLAN, Abkürzung, n",local area networkLAN (abbreviation),"red de área local, LAN (abreviatura)",lähiverkko,"réseau local, mréseau local d’entreprise, mRLE (abréviation)","ローカルエリアネットワークLAN, （略語）",근거리 통신망랜,sieć komputerowa lokalnasieć lokalnaLAN (akronim),rede local,"локална мрежа, ж јдLAN",lokalt nätverkLAN (förkortning),局域网LAN
732-01-05,wireless LAN,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-05,إختصار (WLAN)شبكة الحاسب المحلية اللاسلكية,bezdrátová lokální síťWLAN,"drahtloses lokales Netz, nWLAN, Abkürzung, n",wireless LANWLAN (abbreviation),"red de área local inalámbrica, WLAN (abreviatura)",langaton lähiverkko,"réseau local sans fil, m","ワイヤレスLANWLAN, （略語）",무선랜더블유랜약어무선 근거리 통신망,sieć lokalna bezprzewodowaLAN bezprzewodowaWLAN (akronim),rede local sem fios,"бежична локална мрежа, ж јдWLAN",trådlöst lokalt nätverkWLAN (förkortning),无线局域网WLAN
732-01-06,metropolitan area network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-06,إختصار (MAN)شبكة حاسبات المدينة (المدن),metropolitní síťMAN,"regionales Netz, nMAN, Abkürzung, n",metropolitan area networkMAN  (abbreviation),"red de área metropolitana, MAN (abreviatura)",taajamaverkko,"réseau métropolitain, m","メトロポリタンエリアネットワークMAN, （略語）",도시권 통신망맨,sieć komputerowa miejskasieć metropolitalnaMAN (akronim),rede metropolitana,"мрежа градског подручја, ж јдградска мрежа, ж јдMAN",områdesnätverkMAN (förkortning),城域网MAN
732-01-07,wide area network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-07,شبكة حاسبات واسعة النطاقإختصار (WAN)شبكة الحاسبات المتسعة,rozlehlá síťWAN,"Weitverkehrsnetz, nWAN, Abkürzung, n",wide area networkWAN (abbreviation),"red de área extensa, WAN (abreviatura)",alueverkko,"réseau étendu, mréseau à longue distance, m","ワイドエリアネットワークWAN, （略語）",광역 정보 통신망완,sieć komputerowa rozległasieć rozległaWAN (akronim),rede larga,"мрежа широког подручја, ж јдрегионална мрежа, ж јдWAN",långdistansnätverkWAN (förkortning),广域网WAN
732-01-08,global area network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-08,إختصار (GAN)الشبكة العالمية,globální síťcelosvětová síťGAN,"globales Netz, nGAN, Abkürzung, n",global area networkGAN (abbreviation),"red de área global, GAN (abreviatura)",globaaliverkko,"réseau mondial, m","グローバルエリアネットワークGAN, （略語）",세계 정보망지에이앤,sieć komputerowa globalnasieć globalnaGAN (akronim),rede global,"глобална мрежа, ж јдGAN",globalt nätverkGAN (förkortning),全域网GAN
732-01-09,internetworking,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-09,ربط شبكات بينية,internetworking,"Vernetzung, f",internetworkinginternetting,funcionamiento en red,verkottaminen,"interréseautage, mfonctionnement en interréseau, m",インターネットワーキングインターネッティング,인터네트워킹,wiązanie sieciłączenie sieci,interredóticafuncionamento em interrede,"комбиновање различитих мрежа, с јд",sammankoppling av nätverk,网际互连
732-01-10,virtual private network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-01-10,إختصار (VPN)شبكة خاصة إفتراضية,virtuální privátní síťVPN,"virtuelles privates Netz, nVPN, Abkürzung, n",virtual private networkVPN (abbreviation),"red privada virtual, VPN (abreviatura)",virtuaalinen yksityisverkko,"réseau privé virtuel, mRPV (abréviation) m","仮想プライベートネットワークVPN, （略語）",가상 사설망브이피앤,sieć wirtualna prywatnaVPN (akronim),rede privada virtual,"виртуелна приватна мрежа, ж јдVPN",virtuellt privat nätverkVPN (förkortning),虚拟专用网VPN
