term_id,term,term_url,ar,de,en,es,fr,ja,ko,pl,pt,sr,zh
802-01-01,ultrasound,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-01,الموجات فوق الصوتية,"Ultraschall, m",ultrasound,ultrasonido,"ultrason, m",超音波,초음파,ultradźwięki,ultrassom,"ултразвук, м јд",超声
802-01-02,ultrasound field,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-02,مجال الموجات فوق الصوتية,"Ultraschallfeld, n",ultrasound field,campo ultrasónico,"champ ultrasonique, m",超音波音場,초음파 음장초음파 장,pole ultradźwiękowe,campo ultra-sónico,"ултразвучно поље, с јд",超声场
802-01-03,instantaneous acoustic pressure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-03,الضغط الصوتي اللحظي,"Augenblickswert des Schalldrucks, m",instantaneous acoustic pressure,presión acústica instantánea,"pression acoustique instantanée, f",瞬時音圧,순시 음압,ciśnienie chwilowe w polu akustycznym,pressão acústica instantânea,"тренутни акустички притисак , м јд",瞬时声压
802-01-04,instantaneous particle displacement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-04,الإزاحة اللحظية للجزيء,"Augenblickswert der Teilchenauslenkung, m",instantaneous particle displacement,desplazamiento instantáneo de la partícula,"déplacement instantané de particules, m",瞬時粒子変位,순시 입자 변위,przemieszczenie chwilowe cząstki,deslocamento instantâneo de partículas,"тренутни померај честице, м јд",瞬时质点位移
802-01-05,instantaneous particle velocity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-05,السرعة اللحظية للجزيء,"Augenblickswert der Schallschnelle, m",instantaneous particle velocity,velocidad instantánea de la partícula,"vitesse instantanée d’une particule, f",瞬時粒子速度,순시 입자 속도,prędkość chwilowa cząstki,velocidade instantânea de uma partícula,"тренутна брзина честице, ж јд",瞬时质点速度
802-01-06,pulse-pressure-squared integral,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-06,تكامل مربع النبضة الضغطية,"Pulsintegral des quadrierten Schalldrucks, n",pulse-pressure-squared integral,integral del cuadrado de la presión del impulso,"intégrale de pression d'impulsion au carré, f",パルス音圧二乗積分,펄스 음압 제곱 적분피피에스아이,ciśnienie fali w impulsie,integral de pressão de impulso ao quadrado,"интеграл квадрата импулса притиска , м јд",脉冲声压平方积分
802-01-07,beam centrepoint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-07,نقطة المركز لحزمة الأشعة,"Bündelzentrum, n",beam centrepoint,punto central del haz,"point central du faisceau, m",ビーム中心点,빔 중심점,ognisko fizyczne wiązki,ponto central do feixe,"централна тачка дијаграма зрачења, ж јдцентрална тачка снопа зрачења, ж јд",波束中心点
802-01-08,beam(-alignment) axis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-08,محور حزمة الأشعة,"Bündelachse, f",beam(-alignment) axis,eje (de alineamiento) del haz,"axe (d’alignement) du faisceau, m",ビーム整列軸ビーム軸,빔축빔정렬축,oś rzeczywista wiązki,eixo (de alinhamento) do feixe,"оса (центрирања) дијаграма зрачења, ж јд",波束准直轴波束轴
802-01-09,acoustic intensity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-09,شدة الكثافة الصوتية,"Schallintensität, fSchallstärke, f",acoustic intensity,intensidad acústica,"intensité acoustique, f",音響強度,음향 강도,natężenie fali (ultradźwiękowej),intensidade acústica,"акустички интензитет , м јд",声强
802-01-10,instantaneous intensity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=802-01-10,شدة الكثافة اللحظية,"Augenblickswert der Intensität, m",instantaneous intensity,intensidad instantánea,"intensité instantanée, f",瞬時強度,순시 강도,natężenie chwilowe fali (ultradźwiękowej),intensidade instantânea,"тренутни интензитет , м јд",瞬时声强
