term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,sv,zh
806-11-01,recording,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-11-01,تسجيل,"Aufzeichnung, f",recording,registro,"enregistrement, m",registrazione,記録,기록,zapisywanie nagrywanie rejestracja,gravação,inspelning,记录
806-11-02,recording medium,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-11-02,وسط التسجيل,"Aufzeichnungsträger, m",recording medium,soporte del registro,"support d'enregistrement, m",supporto di registrazione,記録媒体,기록 매체,nośnik (zapisu),suporte de gravação,inspelningsmedium,记录媒体记录载体
806-11-03,recording system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-11-03,نظام التسجيل,"Aufzeichnungssystem, n",recording system,sistema de registro,"système d'enregistrement, m",sistema di registrazione,記録システム,기록 시스템,urządzenie zapisujące urządzenie rejestrujące,sistema de gravação,inspelningssystem,记录系统
806-11-04,recording channel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-11-04,قناة التسجيل,"Aufzeichnungskanal, m",recording channel,canal de registro,"voie d'enregistrement, f",canale di registrazione,記録チャネル,기록 채널,kanał zapisywania,canal de gravação,inspelningskanal,记录通道
806-11-05,recording chain,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-11-05,سلسلة التسجيل,"Aufzeichnungskette, f",recording chain,cadena de registro,"chaîne d'enregistrement, f",catena di registrazione,記録系,기록 사슬녹음 사슬,tor zapisywania,cadeia de gravação,inspelningskedja,记录链
806-11-06,reproduction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-11-06,إعادة إنتاج ( إعادة تسجيل),"Wiedergabe, f",reproductionplaybackreplay,lecturareproducción,"lecture, f",riproduzione,再生,재생,odczytywanie odgrywanie odtwarzanie,leitura,avspelningåtergivning,重放
806-11-07,reproducing system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-11-07,نظام إعادة الإنتاج,"Wiedergabesystem, n",reproducing system,sistema de lectura,"système de lecture, m",sistema di riproduzione,再生システム,재생 시스템,urządzenie odczytujące urządzenie odgrywające urządzenie odtwarzające,sistema de leitura,avspelningssystem,重放系统
806-11-08,reproducing channel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-11-08,قناة  إعادة الإنتاج,"Wiedergabekanal, m",reproducing channel,canal de lectura,"voie de lecture, f",canale di riproduzione,再生チャネル,재생 채널,kanał odczytywania,canal de leitura,avspelningskanal,重放通道
806-11-09,reproducing chain,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-11-09,سلسلة  إعادة الإنتاج,"Wiedergabekette, f",reproducing chain,cadena de lectura,"chaîne de lecture, f",catena di riproduzione,再生系,재생 사슬재생계,tor odczytywania,cadeia de leitura,avspelningskedja,重放链
806-11-10,equalization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-11-10,تساوى,"Entzerrung, f",equalization,ecualización,"correction d'un système d'enregistrement ou de lecture, f",equalizzazione,等化,등화,korekcja,igualização,korrigeringutjämning,均衡
806-11-11,pre-emphasis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-11-11,قبل التأكيد,"Preemphase, f",pre-emphasispre-equalization,preacentuaciónprecorrección,"pré-accentuation, fpré-correction, f",pre-enfasi,プリエンファシス,전위강조프리엠퍼시스사전강조,korekcja zapisywania preemfaza,pré-igualização,inspelningskorrigeringpre-emfas,预加重预均衡
806-11-12,de-emphasis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-11-12,عدم التأكيد,"Deemphase, f",de-emphasispost-equalization,desacentuaciónpostecualización,"désaccentuation, fpost-correction, f",de-enfasi,デエンファシス,디앰퍼시스사후강조,korekcja odczytywania deemfaza,pós-igualização,avspelningskorrigeringde-emfas,去加重后均衡
806-11-13,duplicating,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-11-13,نسخ متعدد,"Vervielfältigen, nKopieren, n",duplicatingcopying,copiaduplicación,"duplication, fcopie, f",duplicazione,複製コピー,복제,kopiowanie powielanie,duplicaçãocópia,dupliceringkopiering,复制拷贝
806-11-14,re-recording,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-11-14,اعادة التسجيل,"Umspielen, n",re-recording,nuevo registro,"réenregistrement, m",riregistrazione,再記録,재기록,przepisywanie,regravação,överspelning,转录
806-11-15,dubbing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-11-15,تسجيل مركّب,"Überspielen, n",dubbing,montaje,"montage, m",montaggio,ダビング,더빙재녹음,zgranie (zapisów),montagem,dubbning,混录
806-11-16,drop-out,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-11-16,إنخفاض مستوى الإشارة,"Aussetzer, m",drop-out,pérdida de nivel,"perte de niveau, f",perdita di segnale,ドロップアウト,드롭아웃순간적 감소,zanik,perda de nível,nivåfall,失落
806-12-01,monophonic recording,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-12-01,تسجيل أحادي الصوت,"monophone Aufzeichnung, f",monophonic recording,registro monofónico,"enregistrement monophonique, m",registrazione monofonica,モノホニック録音,모노포닉 녹음단선율 녹음,zapisywanie monofoniczne,gravação monofónica,monoinspelningmonofonisk inspelning,单声录音
806-12-02,stereophonic recording,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-12-02,تسجيل صوتي مجسّم,"stereophone Aufzeichnung, f",stereophonic recording,registro estereofónico,"enregistrement stéréophonique, m",registrazione stereofonica,ステレオ録音,스테레오 녹음입체음향 녹음,zapisywanie stereofoniczne,gravação estereofónica,stereoinspelningstereofonisk inspelning,立体声录音
806-12-03,monophonic reproduction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-12-03,إستعادة احادى الصوت,"monophone Wiedergabe, f",monophonic reproduction,lectura monofónica,"lecture monophonique, f",riproduzione monofonica,モノホニック再生,모노포닉 재생단선율 재생,odczytywanie monofoniczne,leitura monofónica,monoåtergivningmonofonisk återgivning,单声放音
806-12-04,stereophonic reproduction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-12-04,إستعادة صوت مجسّم,"stereophone Wiedergabe, f",stereophonic reproduction,lectura estereofónica,"lecture stéréophonique, f",riproduzione stereofonica,ステレオ再生,스테레오 재생입체음향 재생,odczytywanie stereofoniczne,leitura estereofónica,stereoåtergivningstereofonisk återgivning,立体声肢音
806-12-05,multi-channel recording,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-12-05,تسجيل متعدّد القنوات,"Mehrkanal-Aufzeichnung, f",multi-channel recording,registro multicanal,"enregistrement multivoie, m",registrazione pluricanale,マルチチャネル録音,다채널 녹음다중채널 녹음,zapisywanie wielokanałowe,gravação multicanal,flerkanalsinspelning,多通道录音
806-12-06,multi-channel reproduction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-12-06,إستعادة متعدّدة القنوات,"Mehrkanal-Wiedergabe, f",multi-channel reproduction,lectura multicanal,"lecture multivoie, f",riproduzione multicanale,マルチチャネル再生,다채널 재생다중채널 재생,odczytywanie wielokanałowe,leitura multicanal,flerkanalsåtergivning,多通道放音
806-12-07,reference level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-12-07,مستوى مرجعي,"Bezugspegel, m",reference level,nivel de referencia,"niveau de référence, m",livello di riferimento,基準レベル,기준 레벨,poziom odniesienia,nível de referência,referensnivå,基准电平参考电平
806-12-08,recorded level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-12-08,مستوى مُسجَل,"aufgezeichneter Pegel, m",recorded level,nivel registrado,"niveau enregistré, m",livello registrato,記録済みレベル,기록 수준,poziom zapisu,nível gravado,inspelad nivå,已录电平
806-12-09,recording level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-12-09,مستوى التسجيل,"Aufzeichnungspegel, m",recording level,nivel de registro,"niveau d'enregistrement, m",livello di registrazione,記録レベル,녹음 수준녹음 레벨,poziom zapisu umowny,nível de gravação,inspelningsnivå,录音电平
806-12-10,recording characteristic,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-12-10,خصائص التسجيل,"Aufzeichnungscharakteristik, f",recording characteristic,característica de registro,"caractéristique d'enregistrement, f",caratteristica di registrazione,記録特性,기록 특성,charakterystyka zapisu,característica de gravação,inspelningskarakteristik,录音特性
806-12-11,recording loss,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-12-11,فقد التسجيل,"lineare Aufzeichnungsverzerrung, f",recording loss,pérdida de registro,"perte d'enregistrement, f",perdita di registrazione,記録損失,기록 손실,spadek poziomu zapisu,perda de gravação,inspelningsförluster,录音损耗
806-12-12,ideal transducer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-12-12,محول إشارة مثالي,"idealer Wandler, m",ideal transducer,transductor ideal,"transducteur idéal, m",trasduttore ideale,理想トランスデューサ,이상 변환기,przetwornik idealny,transdutor ideal,ideal omvandlare,理想换能器
806-12-13,reproducing characteristic,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-12-13,خصائص اعادة الانتاج,"Wiedergabecharakteristik, f",reproducing characteristic,característica de lectura,"caractéristique de lecture, f",caratteristica di riproduzione,再生特性,재생 특성,charakterystyka odczytywania,característica de leitura,återgivningskarakteristik:,重放特性
806-12-14,reproducing loss,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-12-14,فقد اعادة الانتاج,"Wiedergabeverlust, m",reproducing loss,pérdida de lectura,"perte de lecture, f",perdita di riproduzione,再生損失,재생 손실,spadek poziomu odczytywania,perda de leitura,återgivningsförluster,放音损耗
806-12-15,background noise,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-12-15,شوشرة خلفية,"Eigengeräusch, n",background noise,ruido de fondo,"bruit de fond, m",rumore di fondo,背景雑音,배경 잡음배경소음주위 소음,szum własny,ruído de fundo,bakgrundsbrus,背景噪声
806-12-16,modulation noise,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-12-16,شوشرة التعديل,"Modulationsrauschen, n",modulation noise,ruido de modulación,"bruit de modulation, m",rumore di modulazione,変調雑音,변조 잡음,szum modulacyjny,ruído de modulação,modulationsbrus,调制噪声
806-12-17,channel separation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-12-17,فصل القناة,"Kanaltrennung, f",channel separation,separación de canales,"séparation des voies, f",separazione dei canali,チャネルセパレーション,채널 분리도,separacja międzykanałowa,separação de canais,kanalseparation,通道隔离
806-12-18,cross-talk,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=806-12-18,حديث متقاطع,"Übersprechdämpfung, f",cross-talk,diafonía,"diaphonie, f",diafonia,クロストーク,누화,przesłuch,diafonia,överhörning,串音
