term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,pl,pt,sl,zh
807-01-01,digital recording system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-01,نظام تسجيل رقمي,"digitales Aufzeichnungssystem, ndigitales Aufzeichnungs- und Wiedergabesystem für Ton und Bild, n",digital recording systemdigital audio/video recording/reproducing system,sistema digital de grabaciónsistema digital de grabación/reproducción de audio/vídeo,"système audiovisuel d'enregistrement numérique, m",sistema di registrazione digitale audio e video,デジタル記録システムデジタルオーディオビデオ記録再生システム,디지탈 녹음 시스템,system rejestracji cyfrowej audiowizualnej,sistema de gravação digitalsistema áudio/vídeo de gravação/leitura digital,digitalni zapisovalni-snemalni sistemdigitalni avdio-video snemalni-predvajalni sistem,数字记录系统数字音频/视频录/放系统
807-01-02,resolution (in digital processing),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-02,الوضوح (فى المعالجة الرقمية),"Auflösung (in der Digitaltechnik), f",resolution (in digital processing),resolución (en tratamiento digital),résolution (en traitement numérique) f,risoluzione (nel trattamento digitale),分解能,"해상도, 디지털 처리",rozdzielczość (w procesach cyfrowych),resolução (em processamento digital),razločljivost pri digitalni obdelavi,分辨率分辨力
807-01-03,frame (in digital processing),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-03,اطار (في المعالجة الرقمية),"Rahmen (in der Digitaltechnik), m",frame (in digital processing),trama (en tratamiento digital),trame (en traitement numérique) f,trama (nel trattamento digitale),"フレーム, <デジタル処理の>","프레임, 디지털 처리틀, 디지털 처리",ramka (w procesach cyfrowych),trama (em processamento digital),okvir pri digitalni obdelavi,帧
807-01-04,synchronization word,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-04,كلمة تزامن / نموذج تزامن,"Synchronisierwort, nSynchronisationsmuster, n",synchronization wordsynchronization pattern,palabra de sincronizaciónpatrón de sincronización,"mot de synchronisation, m",parola di sincronizzazione,同期,동기화 워드동기화 패턴,słowo synchronizacji,palavra de sincronização,sinhronizacijska besedasinhronizacijski vzorec,同步字同步码型
807-01-05,transparent channel,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-05,قناة شفافة,"transparenter Kanal, m",transparent channel,canal transparente,"voie transparente, f",canale trasparente,通過チャネル,투명 채널,kanał transparentnykanał przeźroczysty,canal transparente,pregledni kanaltransparentni kanal,透明通道
807-01-06,oversampling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-06,تجاوز العينة المقررة,"Überabtastung, f",oversampling,sobremuestreo,"suréchantillonnage, m",sovraccoppiamento,オーバーサンプル,과표본화,nadpróbkowanie,sobre-amostragem,nadvzorčenje,过抽样
807-01-08,copy prohibition bits,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-08,أرقام ثنائية لحظر النسخ,"Kopierschutzbits, n, pl",copy prohibition bits,bits anticopia,"bits anticopie, m pl",bit di proibizione copia,コピー禁止ビット,복제금지 비트,bity zabezpieczające (przeciw kopiowaniu),bits anti-cópia,biti za preprečevanje kopiranja,禁止拷贝比特
807-01-09,peak shift,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-09,ازاحة الذروة,"Impulsspitzenverschiebung, f",peak shift,desplazamiento de los picos,"décalage des crêtes, m",spostamento del picco,ピークシフト,정점 이동,przesuw szczytów,decalagem dos picos,pomik tementemenski pomik,脉峰偏移
807-01-10,bit period,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-10,مدة رقم ثنائي,"Bitperiode, fDauer eines Kanalbits, fTch, Abkürzung",bit periodTch (abbreviation),periodo de bit,"période de bit, f",periodo di bit,ビット周期,비트 주기,okres bitu,período de bit,bitna periodaTch,比特周期
807-01-11,channel encoding,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-11,تشفير القناة,"Kanalcodierung, f",channel encodingchannel coding,codificación de canal,"codage en ligne, m",codifica di canale,チャネルコード化,채널 부호화,kodowanie kanałowe,codificação de canal,kanalsko zakodiranje,通道编码信道编码
807-01-12,eight-to-fourteen modulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-12,تضمين ثماني الى رابع عشري,"Acht-auf-vierzehn-Modulation, fEFM",eight-to-fourteen modulationEFM (abbreviation),EFM (abreviatura)modulación ocho a catorce,"code huit à quatorze, mEFM (abréviation) m",modulazione otto/quattordici EFM,"８－１４変換EFM, （略語）",팔-십사 변조8-14 변조,modulacja osiem na czternaście EFM (akronim),código oito em catorzeEFM (abreviatura),modulacija osem na štirinajstEFM,8-14调制EFM
807-01-13,cyclic redundancy check,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=807-01-13,فحص الوفر الدوري,"zyklische Redundanzprüfung, fCRC, Abkürzung",cyclic redundancy checkCRC (abbreviation),control de redundancia cíclicaCRC (abreviatura),"contrôle de redondance cyclique, mCRC (abréviation) m",codice di ridondanza ciclico CRC,"巡回冗長点検CRC, （略語）",주기적 덧붙임 검사순환 중복 검사,kontrola cykliczna nadmiarowa CRC (akronim),controlo de redundância cíclicoCRC (abreviatura),ciklično preverjanje redundanceCRC,循环冗余检验CRC
