term_id,term,term_url,ar,de,en,es,fr,ja,ko,pl,pt,zh
815-10-01,perfect diamagnetism,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-01,,"vollkommener Diamagnetismus, m",perfect diamagnetism,diamagnetismo perfecto,"diamagnétisme parfait, m",完全反磁性,완전 반자성,"diamagnetyzm doskonały, m",diamagnetismo perfeito,完全抗磁性
815-10-02,superconductivity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-02,,"Supraleitung, fSupraleitfähigkeit, f",superconductivity,superconductividad,"supraconductivité, f",超電導,초전도,"nadprzewodnictwo, n",supercondutividade,超导电性
815-10-03,"superconducting, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-03,,"supraleitend, Adjektiv","superconducting, adj","superconductor, adj","supraconducteur, adj","超電導の, 形容詞","초전도의, 형용사","nadprzewodzący, adjnadprzewodnikowy, adj","supercondutivo, adj","超导的, <相关条目：815-10-04>"
815-10-04,"superconductive, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-04,,"supraleitfähig, Adjektiv","superconductive, adj","superconductor, adj","supraconducteur, <potentiellement supraconducteur> adj","超電導性の, 形容詞","초전도성, 형용사","nadprzewodnikowy, adj","supercondutivo, adj","超导的, <相关条目：815-10-03>"
815-10-05,superconducting state,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-05,,"supraleitender Zustand, m",superconducting state,estado superconductor,"état supraconducteur, m",超電導状態,초전도 상태,"stan nadprzewodzący, m",estado supercondutivo,超导态
815-10-06,superconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-06,,"Supraleiter, m",superconductor,material superconductorsuperconductor,"supraconducteur, mmatériau supraconducteur, m",超電導体,초전도체,"nadprzewodnik, m",supercondutor,超导体
815-10-07,"normal state, <superconductor>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-07,,"normalleitender Zustand, m","normal state, <superconductor>",estado normal,"état normal, <supraconducteur> m","常電導状態, ＜超電導体＞","정상상태, <초전도체>상전도상태, <초전도체>","stan rezystywny, <nadprzewodnika> mstan normalny, <nadprzewodnika> m","estado normal, <supercondutor>","正常态, <超导体>"
815-10-08,superconducting transition,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-08,,"Supraleitungsübergang, msupraleitender Übergang, m",superconducting transition,transición superconductora,"transition supraconductrice, f",超電導転移,초전도 전이,"przejście nadprzewodzące, n",transição supercondutiva,超导转变
815-10-09,critical temperature,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-09,,"kritische Temperatur, f",critical temperature,temperatura crítica,"température critique, f",臨界温度,임계온도,"temperatura krytyczna, f",temperatura crítica,临界温度
815-10-10,Meissner state,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=815-10-10,,"Meißner-Zustand, m",Meissner state,estado Meissner,"état Meissner, m",マイスナー状態,마이스너 상태,"stan Meissnera, m",estado Meissner,迈斯纳态
