term_id,term,term_url,ar,cs,de,en,es,fr,ja,no,pl,sv,zh
826-10-01,electrical installation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-10-01,تركيبات كهربيةمنشأة كهربية,elektrická instalace,"elektrische Anlage, f",electrical installation,"instalación eléctrica, f","installation électrique, f",電気設備,elektrisk installasjon,"instalacja elektryczna, f",elinstallation,电气装置
826-10-02,origin of the electrical installation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-10-02,نقطة التغذية للتركيبات الكهربيةنقطة التغذية لمنشأة كهربية,začátek elektrické instalace,"Speisepunkt, <der elektrischen Anlage> m",origin of the electrical installation,"origen de la instalación eléctrica, f","origine de l'installation électrique, f",電気設備の原点,leveringspunkt,"złącze instalacji elektrycznej, n",anslutningspunkt,电气装置受电点
826-10-03,"ambient temperature, <for electrical installations>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-10-03,"حرارة الوسط المحيط, <لمنشأة كهربية>درجة الحرارة المحيطة","teplota okolí, <pro elektrické instalace>","Umgebungstemperatur, <für elektrische Anlagen> f","ambient temperature, <for electrical installations>","temperatura ambiente, f","température ambiante, <pour installations électriques> f","周囲温度, <電気設備のための>","omgivelsestemperatur, <for elektriske installasjoner>","temperatura otoczenia, <instalacji elektrycznej> f","omgivningstemperatur, <vid elinstallationen>","环境温度, <电气装置>"
826-10-04,electric supply system for safety services,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-10-04,نظام التغذية الكهربية لخدمات السلامة,elektrický nouzový napájecí systémelektrický napájecí systém pro bezpečnostní účely,"elektrische Anlage für Sicherheitszwecke, f",electric supply system for safety services,"sistema de alimentación eléctrica para servicios de seguridad, m","système d'alimentation électrique pour installations de sécurité, m",安全設備用電力供給設備,forsyningsystem for nødstrømsystem,"układ elektrycznego zasilania instalacji bezpieczeństwa, m",kraftförsörjning för säkerhetssystem,安全设施供电系统
826-10-05,electric source for safety services,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-10-05,مصدر كهربي لخدمات السلامة,elektrický nouzový napájecí zdrojelektrický napájecí zdroj pro bezpečnostní účely,"elektrische Stromquelle für Sicherheitszwecke, f",electric source for safety services,"fuente eléctrica para servicios de seguridad, f","source électrique de sécurité, f",安全設備用電源,nødstrømkilde,"źródło elektrycznego zasilania instalacji bezpieczeństwa, n",kraftkälla för säkerhetssystem,安全设施电源
826-10-06,electric circuit for safety services,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-10-06,دائرة كهربية لخدمات السلامة,elektrický obvod pro bezpečnostní účely,"elektrischer Stromkreis für Sicherheitszwecke, m",electric circuit for safety services,"circuito eléctrico para servicios de seguridad, m","circuit électrique de sécurité, m",安全設備用回路,nødstrømkurs,"obwód elektryczny instalacji bezpieczeństwa, m",strömkrets för säkerhetssystem,安全设施电气回路
826-10-07,standby electric supply system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-10-07,نظام امداد بالتيار الكهربي احتياطينظام التغذية الكهربية الاحتياطي,záložní elektrický napájecí systém,"Ersatzstromversorgungsanlage, f",standby electric supply system,"sistema de alimentación eléctrica de reserva, m","système d'alimentation électrique de remplacement, m",予備電力供給設備,reservestrømforsyning,"układ rezerwowy zasilania elektrycznego, m",reservkraftsystem,备用供电系统
826-10-08,standby electric source,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-10-08,مصدر تيار كهربي احتياطيمصدركهربي احتياطي,záložní elektrický zdrojnáhradní elektrický zdroj,"Ersatzstromquelle, f",standby electric source,"fuente de energía eléctrica de reserva, f","source électrique de remplacement, f",予備電源,reservestrømkilde,"źródło elektrycznego zasilania rezerwowe, n",reservkraftkälla,备用电源
826-10-09,operating gangway,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-10-09,ممر التشغيل,chodba pro obsluhu,"Bedienungsgang, m",operating gangway,"pasillo de servicio, m","passage de service, m",運転操作通路,betjeningsgang,"korytarz nadzoru, m",betjäningsgång,操作通道
826-10-10,maintenance gangway,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=826-10-10,ممر الصيانة,chodba pro údržbu,"Instandhaltungsgang, mWartungsgang, m",maintenance gangway,"pasillo de mantenimiento, m","passage d'entretien, m",保守点検通路,vedlikeholdsgang,"korytarz obsługi, m",manövergång,维护通道
