term_id,term,term_url,ar,de,en,es,fr,it,ja,pl,pt,zh
871-01-01,accessibility,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-01-01,,,accessibility,,"accessibilité, f",,,,,
871-01-02,AAL,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-01-02,المساعدة الفعالة للمعيشة,AALActive Assisted Living,AALactive assisted livingDEPRECATED: ambient assisted living,ayuda a domicilio,"AADassistance à l’autonomie à domicile, fDÉCONSEILLÉ: assistance à l'autonomie ambiante",AALassistenza attiva alla vita,AAL自立生活支援,"aktywne wspomaganie życia (AAL), n",vida assistida ao domicílioassistência ativa ao domicílioAAL,"积极辅助生活, <相关条目：IEV 871-01-03>AAL"
871-01-03,"AAL, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-01-03,المساعدة الفعالة للمعيشة (صفة),"AAL, adj","AAL, adjactive assisted living, adj","de ayuda a domicilio, adj","AAD, adjà assistance à l’autonomie à domicile, adj","AAL, aggassistenza attiva alla vita, agg","AALの, 形容詞AAL",AAL,vida assistida ao domicílioassistência ativa ao domicílioAAL,"积极辅助生活, <形容词，相关条目：IEV 871-01-02>"
871-01-04,AAL service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-01-04,الخدمات الفعالة المساعدة للمعيشة,"AAL-Dienst, mAAL-Dienstleistung, f",AAL serviceactive assisted living service,SADservicio de ayuda a domicilio,"service AAD, mservice d’assistance à l’autonomie à domicile, m",servizio AALservizio di assistenza attiva alla vita,AALサービス,"usługa AAL, f",serviço AAL,积极辅助生活服务
871-01-05,AAL service agreement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-01-05,عقد خدمات فعالة مساعدة للمعيشة,"AAL-Dienstleistungsvereinbarung, f",AAL service agreementactive assisted living service agreement,acuerdo de SADacuerdo de servicios de ayuda a domicilio,"accord de service AAD, maccord de service d’assistance à l’autonomie à domicile, m",accordo sul servizio AALaccordo sul servizio di assistenza attiva alla vita,AALサービス契約,"umowa serwisowa AAL, f",contrato de serviço AAL,积极辅助生活服务协议
871-01-06,AAL service level agreement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-01-06,عقد خدمات فعالة مساعدة للمستوى المعيشى,"AAL-Dienstleistungsgradvereinbarung, f",AAL service level agreementactive assisted living service level agreement,acuerdo de nivel de SADacuerdo de nivel de servicio de ayuda a domicilio,"accord de niveau de service AAD, maccord de niveau de service d’assistance à l’autonomie à domicile, m",accordo sul livello del servizio AALaccordo sul livello del servizio di assistenza attiva alla vita,AALサービスレベルに関する契約,"umowa o poziomie usług AAL, f",contrato de nível de serviço AAL,积极辅助生活服务水平协议
871-01-07,AAL use case,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-01-07,حالة استخدام للمساعدة الفعالة للمعيشة,"AAL-Anwendungsfall, m",AAL use caseactive assisted living use case,caso de uso de SADcaso de uso de ayuda a domicilio,"cas d’utilisation AAD, mcas d’utilisation d’assistance à l’autonomie à domicile, m",caso di utilizzo AALcaso di utilizzo del assistenza attiva alla vita,AALユースケースAAL使用事例,"przypadek użycia AAL, m",caso de uso AAL,积极辅助生活使用案例
871-01-08,usability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-01-08,قابلية الأستخدام,"Gebrauchstauglichkeit, f",usability,usabilidad,"utilisabilité, f",usabilità,ユーザビリティ使い勝手,"użyteczność, f",usabilidade,可用性
871-01-09,AAL use case category,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-01-09,فئة حالة الإستخدام في منظومة المساعدة المعيشية النشطة,"AAL-Anwendungsfallkategorie, f",AAL use case category,"categoría de caso de uso de SAD, fcategoría de caso de uso de servicios de ayuda a domicilio, f","catégorie de cas d’utilisation AAD, f",Categoria di casi d'uso AAL,AALユースケース分類,"kategoria przypadku zastosowania AAL, f",categoria de caso de uso AALcategoria de caso de uso VAA,AAL使用案例分类
871-01-10,ADL,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=871-01-10,الانشطة المعيشية اليومية,"ADLAktivität des täglichen Lebens, f",ADLactivity of daily living,"actividad de la vida diaria, f","AVQ, factivité de la vie quotidienne, f",ADLAttività della vita quotidiana,日常生活動作,"czynności życia codziennego, f pl",AVQatividade da vida quotidiana,日常生活活动ADL
