term_id,term,term_url,de,en,es,fr,ja,pl,zh
872-01-01,impairment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-01-01,"Schädigung, f",impairment,"deficiencia, f","déficience, f",機能障害機能障がい,"upośledzenie, ndeficyt, m",损伤缺陷
872-01-02,disability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-01-02,"Behinderung, f",disability,"discapacidad, f","handicap, m",障害障がい,"niepełnosprawność, finwalidztwo, n",失能残疾
872-01-03,person with age-related disabilities,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-01-03,"Person mit altersbedingten Behinderungen, f",person with age-related disabilities,"persona con discapacidades relacionadas con la edad, f","personne en situation de handicap lié à l'âge, f",高齢障がい者,"osoba z niepełnosprawnością wieku podeszłego, f",失能老年人
872-01-04,"specific needs, pl",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-01-04,"spezifische Bedürfnisse, n pl","specific needs, plDEPRECATED: special needs, pl","necesidades específicas, f, plDESACONSEJADO: necesidades especiales, f, pl","besoins particuliers, m plDÉCONSEILLÉ: besoins spéciaux , m pl","特定ニーズ, <非推奨：特別なニーズ（複数形）>","określone potrzeby, f pl",特定需求
872-01-05,lip speaker,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-01-05,"Lippensprecher, m",lip speaker,"intérprete labial, m","interprète labial, m",唇読唇話者,"lektor języka migowego, m",唇译员
872-02-01,"special need, <in the context of accessibility>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-02-01,"spezieller Bedarf, <in Bezug auf Zugänglichkeit> m","special need, <in the context of accessibility>","necesidad especial, <en el contexto de accesibilidad> f","besoin spécial, <dans le contexte de l'accessibilité>  m","特別なニーズ, <アクセシビリティの文脈で>","szczególne potrzeby, f pl","特殊需求, <无障碍的>"
872-02-02,caption,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-02-02,"Untertitelung, f",captioncaptioning,"subtitulación, f","sous-titrage pour sourds et malentendants, m",字幕,"napisy, m pl","说明文字字幕, <相关条目：IEV 872-02-04>"
872-02-03,audio caption,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-02-03,"Audio-Untertitelung, f",audio captionaudio captioning,"subtitulación de audio, f","audiovision, f",読み上げ字幕,"napisy dźwiękowe, m pl","音频说明文字音频字幕, <相关条目：IEV 872-02-05>"
872-02-04,subtitle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-02-04,"Untertitel, m",subtitle,"subtítulo, m","sous-titre, m",字幕,"podpisy, m pl","字幕, <相关条目：IEV 872-02-02>"
872-02-05,audio subtitle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=872-02-05,"Audio-Untertitel, m",audio subtitlespoken subtitle,"subtítulo de audio, m","doublage, m",読み上げ字幕,"podpisy dźwiękowe, m pl","音频字幕, <相关条目：IEV 872-02-03>语音字幕"
