term_id,term,term_url,ar,de,en,fr,it,ja,ko,pl,pt,sv,zh
891-01-01,electrobiology,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-01,علم الكهروحيوية,"Elektrobiologie, f",electrobiology,"électrobiologie, f",elettrobiologia,電気生物学,전기 생물학,elektrobiologia,electrobiologia,elektrobiologi,生物电学
891-01-02,electrobiologist,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-02,إخصائى الكهروحيوية,"Elektrobiologe, m",electrobiologist,"électrobiologiste, m",elettrobiologo,電気生物学者,전기생물학자,elektrobiolog,electrobiologista,elektrobiolog,生物电学家
891-01-03,galvanism,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-03,الطلاء بالمعادن,"Galvanismus, <in der Elektrobiologie> m",galvanism,"galvanisme, m",galvanismo,直流通電法,직류전기요법갈바니즘,galwanizacja,galvanismo,galvanism,直流电疗法
891-01-04,stimulus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-04,منبهمستثير,"Reiz, m",stimulus,"stimulus, m",stimolo,刺激,자극,bodziec,estímulo,retning,刺激
891-01-05,electrical stimulus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-05,منبه كهربائىمستثير كهربائى,"elektrischer Reiz, m",electrical stimulus,"stimulus électrique, m",stimolo elettrico,電気刺激,전기자극,bodziec elektryczny,estímulo eléctrico,elektrisk retning,电刺激
891-01-06,monopolar stimulus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-06,منبه أحادى القطبمستثير أحادى القطب,"monopolarer Reiz, m",monopolar stimulusmonophasic stimulus,"stimulus monophasique, m",stimolo unipolarestimolo monofasico,単極性電気刺激,단극성 자극단상 자극,bodziec jednofazowy bodziec monofazowy bodziec jednobiegunowy bodziec unipolarny,estímulo monofásicoestímulo monopolar,monopolär retning,单极刺激单相刺激
891-01-07,bipolar stimulus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-07,منبه ثنائى القطبمستثير ثنائى القطب,"bipolarer Reiz, m",bipolar stimulusbiphasic stimulusdiphasic stimulus  (deprecated),"stimulus diphasique, m",stimolo bipolarestimolo bifasico,双極性電気刺激,쌍극성 자극쌍상 자극,bodziec dwufazowy bodziec dwubiegunowy bodziec bipolarny,estímulo bifásicoestímulo bipolar,bipolär retning,双极刺激双相刺激
891-01-08,biomagnetic field,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-08,مجال مغناطيسى لكائن حى,"biomagnetisches Feld, n",biomagnetic field,"champ biomagnétique, m",campo biomagnetico,生体磁場,생체 자기장,pole biomagnetyczne,campo biomagnético,biomagnetiskt fält,生物磁场
891-01-09,. . . . .,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-09,,"Elektrologie, f",. . . . .,"électrologie, f",,電気学,전기의학,elektrologia,electrologia,,电医学
891-01-10,electrology,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-10,علم الجراحة الجلدية بالكهرباء,"Elektro-Epilation, f",electrology,"électrochirurgie cutanée, f",elettrologia cutanea,電気外科的切除,전기외과적 절제전기분해요법,elektrochirurgia skóry,electrocirurgia cutânea,galvanopunktur,电美容
891-01-11,electrification (of a living organism),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-11,تطبيقات كهربية في الطبتكهرب (للأعضاء الحية),"Elektrisierung, <eines lebenden Organismus> f",electrification (of a living organism),"électrisation (d'un organisme vivant), f",elettrizzazione (di un organismo vivente,感電,생물의 대전생물의 감전생물의 전화,elektryzacja organizmu żywego elektryzacja,electrização (de um organismo vivo),,"电生物效应, <活的有机体>"
891-01-12,(electrical) tetanization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-12,إنقباض عضلى (كهربائى),"elektrische Tetanisierung, f",(electrical) tetanization,"tétanisation (électrique), f",tetanizzazione elettrica,強縮,전기적 강직유발전기적 강축유발,tetanizacja elektryczna tetanizacja,tetanização (eléctrica),tetanisering,强直电刺激
891-01-13,fibrillation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-13,رجفان,"Fibrillation, fFlimmern, n",fibrillation,"fibrillation, f",fibrillazione,細動,세동잔떨림,migotanie fibrylacja,fibrilhaçãofibrilação,fibrillation,肌纤维颤动纤颤
891-01-14,cardiac fibrillation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-14,رجفان قلبى,"Herzflimmern, n",cardiac fibrillation,"fibrillation cardiaque, f",fibrillazione cardiaca,心臓細動,심장 세동,migotanie serca fibrylacja serca,fibrilhação cardíaca,hjärtflimmer,心脏肌纤维颤动心脏纤颤
891-01-15,atrial fibrillation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-15,رجفان أذينى,"Vorhofflimmern, n",atrial fibrillationauricular fibrillation,"fibrillation auriculaire, f",fibrillazione atriale,心房細動,심방 세동심방 조동,migotanie przedsionków fibrylacja przedsionków,fibrilhação auricular,förmaksflimmer,心房颤动心房纤颤房颤
891-01-16,ventricular fibrillation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-16,رجفان بطينى,"Herzkammerflimmern, n",ventricular fibrillation,"fibrillation ventriculaire, f",fibrillazione ventricolare,心室細動,심실 세동,migotanie komór fibrylacja komór,fibrilhação ventricular,kammarflimmer,心室颤动心室纤颤室颤
891-01-17,electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-17,قطب كهربائي,"Elektrode, f",electrode,"électrode, f",elettrodo,電極,전극,elektroda,eléctrodo,elektrod,电极
891-01-18,ion-selective electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-18,قطب كهربائي انتقائي للأيونات,"ionenselektive Elektrode, f",ion-selective electrodeion-specific electrode,électrode sélective (d'ions) f,elettrodoto ionoselettivo,イオン選択性電極,이온선택 전극,elektroda selektywna (jonowa),eléctrodo selectivo (de iões),jonspecifik elektrod,离子选择性电极离子特异性电极
891-01-19,electrode impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-19,معاوقة قطب كهربائي,"Elektrodenimpedanz, f",electrode impedance,"impédance d'électrode, f",impedenza elettrodica,電極インピーダンス,전극 임피던스,impedancja elektrody,impedância de eléctrodo,elektrodimpedans,电极阻抗
891-01-20,contact impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-20,معاوقة التلامس,"Kontaktimpedanz, f",contact impedance,"impédance au point de contact, f",impedenza d'interfase,接触インピーダンス,접촉 임피던스,impedancja stykowa,impedância de contacto,kontaktimpedans,接触阻抗
891-01-21,lead configuration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-21,شكل كهربائى (فى الكهروحيوية)شكل إرشادى,"Leitungsanordnung, <in der Elektrobiologie> f",lead configuration,dérivation (en électrobiologie) f,configuarazione circuitale,誘導回路,전극 구성 회로,konfiguracja doprowadzeń (w elektrobiologii),configuração de fios (em electrobiologia)derivação (em electrobiologia),avledningssystem,导联环路
891-01-22,reference electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-22,قطب كهربائي مرجعي,"Bezugselektrode, f",reference electrodeindifferent electrode,"électrode de référence, félectrode indifférente, f",elettrodo di riferimento,基準電極,기준 전극,elektroda odniesienia elektroda obojętna elektroda bierna,eléctrodo de referênciaeléctrodo indiferente,referenselektrod,参考电极
891-01-23,active electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-23,قطب كهربائي فعال,"aktive Elektrode, f",active electrode,"électrode active, f",elettrodo attivo,活性電極,활성 전극,elektroda czynna elektroda aktywna,eléctrodo activo,aktiveringselektrod,活性电极
891-01-24,unipolar electrode system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-24,نظام احادي القطب,"unipolares Elektrodensystem, nmonopolares Elektrodensystem, n",unipolar electrode systemmonopolar electrode system,"système unipolaire d'électrodes, m",sistema unipolare d'elettrodi,単極利用方式,단극 전극 시스템,układ elektrod jednobiegunowy układ elektrod unipolarny,sistema de eléctrodos unipolares,monopolärt elektrodsystem,单极电极系统
891-01-25,bipolar electrode system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-25,نظام ثنائي القطب,"bipolares Elektrodensystem, n",bipolar electrode system,"système bipolaire d'électrodes, m",sistema bipolare d'elettrodi,両極利用方式,쌍전극 시스템,układ elektrod dwubiegunowy układ elektrod bipolarny,sistema de eléctrodos bipolares,bipolärt elektrodsystem,双极电极系统
891-01-26,coaxial electrode system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-26,نظام قطب متحد المحور ( المركز ),"koaxiales Elektrodensystem, nkonzentrisches Elektrodensystem, n",coaxial electrode systemconcentric electrode system,"système coaxial d'électrodes, msystème concentrique d'électrodes, m",sistema coassiale d'elettrodi,共心電極系,동축 전극 시스템,układ elektrod współosiowy układ elektrod koncentryczny,sistema de eléctrodos coaxiaissistema concêntrico de eléctrodos,koncentrisk elektrod,同轴电极系统
891-01-27,loss angle (in electrobiology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-27,زاوية الفقد ( في المجال الكهروحيوية ),"Verlustwinkel, <in der Elektrobiologie> m",loss angle (in electrobiology),angle de perte (en électrobiologie) m,angolo di sfasamanto,損失角,"손실각, 전기생물학",kąt stratności (w elektrobiologii),ângulo de perdas (em electrobiologia),förlustvinkel,"损耗角, <生物电学>"
891-01-28,electrochemical potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-28,جهد كهروكيميائى,"elektrochemisches Potential, n",electrochemical potential,"potentiel électrochimique, m",potenziale elettrochimico,電気化学ポテンシャル,전기화학 전위전기화학 포텐셜,potencjał elektrochemiczny,potencial electroquímico,kemisk potential,电化学电位
891-01-29,boundary potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-29,جهد الحد,"Grenzpotential, n",boundary potentialjunction potentialcontact potential,"potentiel de limite, mpotentiel de jonction, mpotentiel de contact, m",potenziale interliquido,境界電位,경계 전위,potencjał graniczny potencjał brzegowy,potencial de limitepotencial de junçãopotencial de contacto,kontaktpotential,界面电位接触电位
891-01-30,polarization potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-30,جهد الإستقطاب,"Polarisationspotential, n",polarization potential,"potentiel de polarisation, m",potenziale di polarizzazione,分極電位,분극 기전력분극 전위,potencjał polaryzacji,potencial de polarização,polarisationspotential,极化电位
891-01-31,electrokinetic potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-31,جهد كهروحركى,"elektrokinetisches Potential, n",electrokinetic potentialZeta potential,"potentiel électrocinétique, mpotentiel Zéta, m",potenziale elettrocinetico,界面動電位,계면동전위,potencjał elektrokinetyczny potencjał Zeta,potencial electrocinéticopotencial Zeta,kinetisk potential,电动电位
891-01-32,electro-osmosis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-32,تناضح كهربائي,"Elektroosmose, f",electro-osmosis,"électro-osmose, f",elettroosmosi,電気浸透,전기침투,elektroosmoza,electro-osmose,osmos,电渗
891-01-33,streaming potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-33,جهد انسيابي,"Strömungspotential, n",streaming potential,"potentiel d'écoulement, m",potenziale di scorrimento,流動電位,유동 전위스트리밍 전위,potencjał strumieniowy potencjał przepływu,potencial de escoamento,strömningspotential,流动电位
891-01-34,electrode potential (in electrobiology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-34,جهد القطب(في الكهروحيوية),"Elektrodenpotential, n",electrode potential (in electrobiology),potentiel d'électrode (en électrobiologie) m,potenziale elettrodico,電極電位,"전극 전위, 전기생물학",potencjał elektrody (w elektrobiologii),potencial de eléctrodo (em electrobiologia),elektrodpotential,"电极电位, <生物电学>"
891-01-35,pulse train,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-35,سلسلة نبضات متتابعة,"Impulsfolge, f","pulse trainimpulse train, US","train d'impulsions, m",treno d'impulsi,パルス列,펄스열,ciąg impulsów,trem de impulsos,pulståg,脉冲串
891-01-36,low frequency (in electrobiology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-36,تردد منخفض ( فى الكهروحيوية),"Niederfrequenz, <in der Elektrobiologie> f",low frequency (in electrobiology),basse fréquence (en électrobiologie) f,bassa frequenza,低周波,"저주파, 전기 생물학",mała częstotliwość (w elektrobiologii),baixa frequência (em electrobiologia),lågfrekvens,"低频, <生物电学>"
891-01-37,middle frequency (in electrobiology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-37,تردد متوسط (في الكهروحيوية),"Mittelfrequenz, <in der Elektrobiologie> f",middle frequency (in electrobiology),moyenne fréquence (en électrobiologie) f,media frequenza,中周波,"중주파, 전기생물학",średnia częstotliwość (w elektrobiologii),média frequência (em electrobiologia),mellanfrekvens,"中频, <生物电学>"
891-01-38,high frequency (in electrobiology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-01-38,تردد عالي (في الكهروحيوية),"Hochfrequenz, <in der Elektrobiologie> f",high frequency (in electrobiology),haute fréquence (en électrobiologie) f,alta frequenaza,高周波,"고주파, 전기생물학",wielka częstotliwość (w elektrobiologii),alta frequência (em electrobiologia),högfrekvens,"高频, <生物电学>"
891-02-01,electrophysiology,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-01,علم الظواهر الكهربائية لوظائف الأعضاء,"Elektrophysiologie, f",electrophysiology,"électrophysiologie, f",elettrofisiologia,電気生理学,전기생리학,elektrofizjologia,electrofisiologia,fysiologi,电生理学
891-02-02,synapse,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-02,نقطة إشتباك أعصاب,"Synapse, f",synapse,"synapse, f",sinapsi sinassi,シナプス,시냅스접합부,synapsa złącze nerwowe,sinapse,synaps,突触
891-02-03,ephapse,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-02-03,منطقة تقارب نبضية,"Ephapse, f",ephapse,"éphapse, f",efapsiefassi,エファプス,전기시냅스인공시냅스,efapsa,efapse,efaps,假突触
