term_id,term,term_url,cs,de,en,es,fi,fr,it,ja,ko,pl,pt,sr,zh
901-01-01,standardization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-01-01,normalizace,"Normung, fNormungsarbeit, f",standardization,,standardisointi,"normalisation, f",normazione,標準化,표준화,"normalizacja, f",normalização,"стандардизација, ж јд",标准化
901-01-02,subject of standardization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-01-02,předmět normalizace,"Normungsgegenstand, m",subject of standardization,,standardisointikohde,"sujet de normalisation, m",soggetto di normazione,標準化のテーマ標準化の主題,표준화 주제,"przedmiot normalizacji, m",assunto de normalização,"предмет стандардизације, м јд",标准化对象
901-01-03,field of standardization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-01-03,oblast normalizace,"Normungsgebiet, n",field of standardizationDEPRECATED: domain of standardization,,standardisointiala,"domaine de normalisation, m",campo di normazione,標準化の分野,표준화 분야,"dziedzina normalizacji, fTERMIN NIEZALECANY: domena normalizacji, f",domínio de normalização,"област стандардизације, ж јддомен стандардизације , м јд",标准化领域
901-01-04,state of the art,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-01-04,(současný) stav techniky,"Stand der Technik, m",state of the art,,tekniikan taso,"état de la technique, métat de l'art, m",stato dell'arte,最新技術到達技術状況,최신기술,"poziom techniki, m",estado da arte,"стање развијености технике, с јд",最高技术水平
901-01-05,acknowledged rule of technology,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-01-05,uznané technické pravidlo,"anerkannte Regel der Technik, f",acknowledged rule of technology,,tekniikan vakiintunut käytäntö,"règle technique reconnue, frègle de l'art, f",regola tecnica riconosciuta,認知技術規則,인지기술규칙,"uznana reguła techniczna, f",regra técnica reconhecida“regra da arte”,"признато техничко правило, с јд",公认的技术规则
901-01-06,level of standardization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-01-06,úroveň normalizace,"Normungsebene, f",level of standardization,,standardisointitaso,"niveau de normalisation, m",livello di normazione,標準化の段階,표준화 단계,"szczebel normalizacji, m",nível de normalização,"ниво стандардизације, м јд",标准化层次
901-01-07,international standardization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-01-07,mezinárodní normalizace,"internationale Normung, f",international standardization,,kansainvälinen standardisointi,"normalisation internationale, f",normazione internazionale,国際標準化,국제 표준화,"normalizacja międzynarodowa, f",normalização internacional,"међународна стандардизација, ж јд",国际标准化
901-01-08,regional standardization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-01-08,regionální normalizace,"regionale Normung, f",regional standardization,,alueellinen standardisointi,"normalisation régionale, f",normazione regionale,地域標準化,지역 표준화,"normalizacja regionalna, f",normalização regional,"регионална стандардизација, ж јд",区域标准化
901-01-09,national standardization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-01-09,národní normalizace,"nationale Normung, f",national standardization,,kansallinen standardisointi,"normalisation nationale, f",normazione nazionale,国家標準化,국가표준화,"normalizacja krajowa, f",normalização nacional,"национална стандардизација, ж јд",国家标准化
901-01-10,provincial standardization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-01-10,teritoriální normalizace,"Provinznormung, f",provincial standardization,,paikallinen standardisointi,"normalisation territoriale, f",normazione locale,地区標準化地方標準化,지방표준화,"normalizacja administracyjno-terytorialna, f",normalização provincial,"локална стандардизација, ж јд",地方标准化
901-01-11,consensus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-01-11,konsenzus,"Konsens, m",consensus,,konsensus,"consensus, m",consenso,コンセンサス合意,합의,"konsens, m",consenso,"консензус, м јд",协商一致
901-01-12,fitness for purpose,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-01-12,vhodnost pro daný účel,"Zweckdienlichkeit, f",fitness for purpose,,tarkoitukseensopivuus,"aptitude à l'emploi, f",adeguatezza all'uso,目的適合性,목적 적합성,"funkcjonalność, f",aptidão ao uso,"спремност за намену, ж јд",适用性
901-01-13,compatibility,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-01-13,kompatibilitaslučitelnost,"Kompatibilität, fVerträglichkeit, f",compatibility,,yhteensopivuus,"compatibilité, f",compatibilità,両立性,적합성,"kompatybilność, f",compatibilidade,"компатибилност, ж јд",兼容性
901-01-14,interchangeability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-01-14,zaměnitelnost,"Austauschbarkeit, f",interchangeability,,vaihdettavuus,"interchangeabilité, f",intercambiabilità,互換性,호환성,"zamienność, f",intermutabilidade,"заменљивост, ж јд",互换性
901-01-15,variety control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-01-15,řízený výběr variant,"Verminderung der Vielfalt, f",variety control,,valikoiman optimointi,"gestion de la diversité, flimitation de la variété, f",controllo della varietà,品種の管理多様性の制御,품종 관리다양성 제어,"regulowanie różnorodności, n",gestão da diversidade,"управљање варијантама, с јд",品种控制
901-01-16,protection of the environment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-01-16,ochrana životního prostředí,"Umweltschutz, m",protection of the environment,,ympäristönsuojelu,"protection de l'environnement, f",protezione dell'ambiente,環境保全 保護環境保護,환경보호,"ochrona środowiska, f",proteção do ambiente,"заштита животне средине, ж јд",环境保护
901-01-17,product protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-01-17,ochrana produktu,"Schutz des Produktes, mSchutz des Erzeugnisses, m",product protectionDEPRECATED: environmental protection,,tuotteensuojelu,"protection d'un produit, f",protezione del prodotto,製品保護,제품 보호,"ochrona wyrobu, f",proteção do produto,"заштита производа, ж јдзаштита животне средине , ж јд",产品防护
901-02-01,normative document,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-02-01,normativní dokument,"normatives Dokument, n",normative document,,normatiivinen asiakirja,"document normatif, m",documento normativo,規範文書,규범문서,"dokument normatywny, m",documento normativo,"нормативни документ, м јд",规范性文件
901-02-02,standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-02-02,norma,"Norm, f",standard,,standardi,"norme, f",norma,規格,표준,"norma, f",norma,"стандард, м јд",标准
901-02-03,international standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-02-03,mezinárodní norma,"internationale Norm, f",international standard,,kansainvälinen standardi,"norme internationale, f",norma internazionale,国際規格,국제표준,"norma międzynarodowa, f",norma internacional,"међународни стандард, м јд",国际标准
901-02-04,regional standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-02-04,regionální norma,"regionale Norm, f",regional standard,,alueellinen standardi,"norme régionale, f",norma regionale,地域規格,지역표준,"norma regionalna, f",norma regional,"регионални стандард, м јд",区域标准
901-02-05,national standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-02-05,národní norma,"nationale Norm, f",national standard,,kansallinen standardi,"norme nationale, f",norma nazionale,国家規格,국가 표준,"norma krajowa, f",norma nacional,"национални стандард, м јд",国家标准
901-02-06,provincial standard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-02-06,teritoriální norma,"Provinznorm, f",provincial standard,,paikallinen standardi,"norme territoriale, f",norma locale,地区規格地方規格,지방표준,"norma administracyjno-terytorialna, f",norma provincial,"локални стандард, м јд",地方标准
901-02-07,prestandard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-02-07,předběžná norma,"Vornorm, f",prestandard,,esistandardi,"prénorme, f",prenorma,暫定規格,잠정표준,"prenorma, f",pré-norma,"предстандард, м јд",试行标准
901-02-08,technical specification,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=901-02-08,technická specifikace,"technische Spezifikation, ftechnische Beschreibung, f",technical specification,,tekninen eritelmätekninen spesifikaatio,"spécification technique, f",specifica tecnica,技術仕様書,기술 시방서기술 명세서,"specyfikacja techniczna, f",especificação técnica,"техничка спецификација, ж јд",技术规范
