term_id,term,term_url,cs,de,en,fi,fr,it,ja,ko,pl,pt,sr,zh
902-01-01,conformity assessment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-01-01,posuzování shody,"Konformitätsbewertung, f",conformity assessment,vaatimustenmukaisuuden arviointi,"évaluation de la conformité, f",valutazione della conformità,適合性評価,적합성 평가,"ocena zgodności, f",avaliação da conformidade,"оцењивање усаглашености, с јд",合格评定
902-01-02,first-party conformity assessment activity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-01-02,činnost první strany v posuzování shody,"Konformitätsbewertung durch eine erste Seite, f",first-party conformity assessment activity,ensimmäisen osapuolen vaatimustenmukaisuuden arviointitoiminta,"activité d'évaluation de la conformité par première partie, f",attività di valutazione della conformità di prima parte,第一者適合性評価活動,제일자 적합성 평가 활동,"ocena zgodności przez stronę pierwszą, f",atividade de avaliação da conformidade de primeira parte,"активност оцењивања усаглашености преко прве стране, ж јд",第一方合格评定活动
902-01-03,second-party conformity assessment activity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-01-03,činnost druhé strany v posuzování shody,"Konformitätsbewertung durch eine zweite Seite, f",second-party conformity assessment activity,toisen osapuolen vaatimustenmukaisuuden arviointitoiminta,"activité d'évaluation de la conformité par seconde partie, f",attività di valutazione della conformità di parte seconda,第二者適合性評価活動,제이자 적합성 평가 활동,"ocena zgodności przez stronę drugą, f",atividade de avaliação da conformidade de segunda parte,"активност оцењивања усаглашености преко друге стране, ж јд",第二方合格评定活动
902-01-04,third-party conformity assessment activity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-01-04,činnost třetí strany v posuzování shody,"Konformitätsbewertung durch eine dritte Seite, f",third-party conformity assessment activity,kolmannen osapuolen vaatimustenmukaisuuden arviointitoiminta,"activité d'évaluation de la conformité par tierce partie, f",attività di valutazione della conformità di parte terza,第三者適合性評価活動,제삼자 적합성 평가 활동,"ocena zgodności przez stronę trzecią, f",atividade de avaliação da conformidade de terceira parte,"активност оцењивања усаглашености преко треће стране, ж јд",第三方合格评定活动
902-01-05,conformity assessment body,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-01-05,orgán posuzující shodu,"Konformitätsbewertungsstelle, f",conformity assessment body,vaatimustenmukaisuuden arviointielin,"organisme d'évaluation de la conformité, m",organismo di valutazione della conformità,適合性評価機関,적합성 평가 기관,"jednostka oceniająca zgodność, f",organismo de avaliação da conformidade,"тело за оцењивање усаглашености, с јд",合格评定机构
902-01-06,accreditation body,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-01-06,akreditační orgán,"Akkreditierungsstelle, f",accreditation body,akkreditointielin,"organisme d'accréditation, m",organismo di accreditamento,認定機関,인정 기관,"jednostka akredytująca, f",organismo de acreditação,"акредитационо тело, с јд",认可机构
902-01-07,conformity assessment system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-01-07,systém posuzování shody,"Konformitätsbewertungssystem, n",conformity assessment system,vaatimustenmukaisuuden arviointijärjestelmä,"système d'évaluation de la conformité, m",sistema di valutazione della conformità,適合性評価システム,적합성 평가 시스템,"system oceny zgodności, m",sistema de avaliação da conformidade,"систем оцењивања усаглашености, м јд",合格评定制度
902-01-08,conformity assessment scheme,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-01-08,schéma posuzování shodyprogram posuzování shody,"Konformitätsbewertungsprogramm, n",conformity assessment schemeconformity assessment programme,vaatimustenmukaisuuden arviointiohjelma,"système particulier d'évaluation de la conformité, mprogramme d'évaluation de la conformité, m",schema di valutazione della conformità,適合性評価スキーム適合性評価プログラム,적합성 평가 계획적합성 평가 프로그램,"program oceny zgodności, mplan oceny zgodności, m",esquema de avaliação da conformidade,"шема оцењивања усаглашености, ж јдпрограм оцењивања усаглашености, м јд",合格评定方案
902-01-09,access,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-01-09,přístuppřístup k systému nebo schématu,"Zugang, mZugang zu einem System oder Programm, m",accessaccess to a system or scheme,käyttömahdollisuus,"accès, maccès à un système ou à un système particulier, m",accesso,アクセス,접근,"dostęp, mdostęp do systemu lub programu, m",acessoacesso a um sistema ou esquema,"приступ, м јдприступ систему или шеми, м јд",准入制度或方案的准入
902-01-10,participant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-01-10,účastníkúčastník v systému nebo schématu,"Teilnehmer, mTeilnehmer an einem System oder Programm, m",participantparticipant in a system or scheme,osallistuja,"participant, mparticipant à un système ou à un système particulier, m",partecipante,参加機関,참가기관,"uczestnik, muczestnik systemu lub programu, m",participanteparticipante num sistema ou esquema,"учесник, м јдучесник у систему или шеми, м јд",参与者制度或方案的参与者
902-01-11,member,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-01-11,členčlen systému nebo schématu,"Mitglied, nMitglied eines Systems oder Programms, n",membermember of a system or scheme,jäsen,"membre, mmembre d'un système ou d'un système particulier, m",membro,会員機関,회원기관구성원,"członek, mczłonek systemu lub programu, m",membromembro de um sistema ou esquema,"члан, м јдчлан система или шеме, м јд",成员制度或方案的成员
902-02-01,specified requirement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-02-01,specifikovaný požadavek,"festgelegte Anforderung, f",specified requirement,määritelty vaatimus,"exigence spécifiée, f",prescrizione specificata,規定要求事項,규정요구사항,"wyspecyfikowane wymaganie, n",requisito especificado,"специфицирани захтев, м јд",规定要求
902-02-02,procedure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-02-02,postup,"Verfahren, n",procedure,menettely,"procédure, f",procedura,手順,절차,"procedura, f",procedimento,"процедура, ж јдпоступак, м јд",程序
902-02-03,product,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-02-03,produkt,"Produkt, n",product,tuote,"produit, m",prodotto,製品,제품,"wyrób, m",produto,"производ, м јд",产品
902-03-01,sampling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-03-01,vzorkování,"Probenahme, f",sampling,näyttenotto,"échantillonnage, m",campionamento,サンプリング,표본화표본추출,"pobieranie próbek, n",amostragem,"узорковање, с јд",取样
902-03-02,testing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-03-02,zkoušení,"Prüfen, n",testing,testaus,"essai, m",prove,試験,시험실험,"badanie, n",ensaio,"испитивање, с јд",检测
902-03-03,inspection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-03-03,kontrolainspekce,"Inspektion, f",inspection,tarkastus,"inspection, f",ispezione,検査,검사,"kontrola, finspekcja, f",inspeção,"контролисање, с јд",检查
902-03-04,audit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-03-04,audit,"Audit, n",audit,auditointi,"audit, m",visita espettiva,監査,감사,"audit, maudyt, m",auditoria,"провера, ж јд",审核
902-03-05,peer assessment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-03-05,vzájemné posouzení,"Begutachtung unter Gleichrangigen, f",peer assessment,vertaisarviointi,"évaluation par des pairs, f",valutazione,同等性評価,동료 평가,"ocena równorzędna, f",avaliação entre pares,"колегијално оцењивање, с јд",同行评审
902-04-01,review,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-04-01,přezkoumání,"Bewertung, f",review,katselmus,"revue, f",esame,レビュー,검토,"przegląd, m",análise,"преиспитивање, с јд",复核
902-04-02,attestation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-04-02,potvrzení,"Bestätigung, f",attestation,vahvistaminen,"attestation, f",attestato,証明,증명인증,"atestacja, f",atestação,"атестирање, с јдпотврђивање усаглашености, с јд",证明
902-04-03,scope of attestation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-04-03,rozsah potvrzení,"Geltungsbereich der Bestätigung, m",scope of attestation,vahvistettu pätevyysalue,"portée de l'attestation, f",oggetto dell'attestato,証明の適用範囲,증명 범위,"zakres atestacji, m",âmbito da atestação,"обим атестирања, м јд",证明范围
902-04-04,declaration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-04-04,prohlášení,"Erklärung, f",declaration,vakuutus,"déclaration, f",dichiarazione,宣言,선언선포,"deklaracja, f",declaração,"декларисање, с јд",声明
902-04-05,certification,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-04-05,certifikace,"Zertifizierung, f",certification,sertifiointi,"certification, f",certificazione,認証,인증,"certyfikacja, f",certificação,"сертификација, ж јд",认证
902-04-06,accreditation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-04-06,akreditace,"Akkreditierung, f",accreditation,akkreditointi,"accréditation, f",accreditamento,認定,인정,"akredytacja, f",acreditação,"акредитација, ж јд",认可
902-05-01,surveillance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-05-01,dozor,"Überwachung, f",surveillance,seuranta,"surveillance, f",sorveglianza,サーベイランス,감시감독,"nadzór, m",acompanhamento,"надзор, м јд",监督
902-05-02,suspension,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-05-02,pozastavení,"Aussetzung, f",suspension,pidättäminen,"suspension, f",sospensione,一時停止,일시정지잠정중단,"zawieszenie, n",suspensão,"суспензија, ж јд",暂停
902-05-03,withdrawal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-05-03,odnětí,"Zurückziehung, f",withdrawalrevocation,peruuttaminen,"retrait, mrévocation, f",ritiro,取消し,철회취소,"cofnięcie, nuchylenie, n",anulaçãorevogação,"повлачење, с јд",撤消废止
902-05-04,appeal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-05-04,odvolání,"Einspruch, m",appeal,valitus,"appel, <en évaluation de la conformité> m",appello,異議申立て,이의신청상소,"odwołanie, n",recurso,"жалба, ж јд",申诉
902-05-05,complaint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-05-05,stížnost,"Beschwerde, f",complaint,reklamaatio,"plainte, f",reclamo,苦情,소원고소,"skarga, f",reclamação,"приговор, м јд",投诉
902-06-01,approval,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-06-01,schválení,"Zulassung, f",approval,hyväksyntä,"homologation, f",approvazione,認可,인가,"dopuszczenie, n",aprovaçãohomologação,"одобрење, с јд",批准
902-06-02,designation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-06-02,ustanovení,"Benennung, f",designation,nimitys,"désignation, f",designazione,指定,지정,"autoryzacja, f",designação,"именовање, с јд",指定
902-06-03,designating authority,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-06-03,ustanovující orgánustanovující autorita,"benennende Behörde, f",designating authority,nimeävä viranomainen,"autorité de désignation, f",autorità designante,指定当局,지정기관,"organ autoryzujący, m",autoridade de designação,"орган за именовање, м јд",指定机关
902-06-04,equivalence,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-06-04,ekvivalenceekvivalence výsledků posuzování shody,"Gleichwertigkeit, fGleichwertigkeit der Ergebnisse von Konformitätsbewertungen, f",equivalenceequivalence of conformity assessment results,vastaavuus,"équivalence, féquivalence de résultats d'évaluation de la conformité, f",equivalenza,同等性,동등성등가,"równoważność, frównoważność wyników oceny zgodności, f",equivalênciaequivalência dos resultados da avaliação da conformidade,"еквивалентност, ж јдеквивалентност резултата оцењивања усаглашености, ж јд",等效合格评定结果的等效
902-06-05,recognition,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-06-05,uznáváníuznávání výsledků posuzování shody,"Anerkennung, fAnerkennung der Ergebnisse von Konformitätsbewertungen, f",recognitionrecognition of conformity assessment results,tunnustaminen,"reconnaissance, freconnaissance de résultats d'évaluation de la conformité, f",riconoscimento,承認,인식승인,"uznawanie, nuznawanie wyników oceny zgodności, n",reconhecimentoreconhecimento dos resultados da avaliação da conformidade,"признавање, с јдпризнавање резултата оцењивања усаглашености, с јд",承认合格评定结果的承认
902-06-06,acceptance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=902-06-06,akceptováníakceptování výsledků posuzování shody,"Übernahme, fÜbernahme der Ergebnisse von Konformitätsbewertungen, f",acceptanceacceptance of conformity assessment results,hyväksyminen,"acceptation, facceptation de résultats d'évaluation de la conformité, f",accettazione,受入れ,승낙수용합격,"akceptacja, fakceptacja wyników oceny zgodności, f",aceitaçãoaceitação dos resultados da avaliação da conformidade,"прихватање, с јдприхватање резултата оцењивања усаглашености, с јд",接受合格评定结果的接受
