term_id,term,term_url,de,en,es,fr,ja,ko,nl,pl,pt,sr,zh
903-01-01,harm,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-01-01,"Schaden, m",harm,daño,"dommage, m",危害,위해,"schade, f","szkoda, f",dano,"штета, ж јд",伤害
903-01-02,hazard,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-01-02,"Gefährdung, f",hazard,peligro,"phénomène dangereux, m",ハザード,위험,"gevaar, n","zagrożenie, n",perigo,"опасност, ж јд",危险
903-01-03,hazard zone,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-01-03,"Gefährdungsbereich, m",hazard zone,zona de peligro,"zone de danger, f",ハザード圏,위험 구역장해 구역,"gevarenzone, f","strefa zagrożenia, f",zona de perigo,"зона опасности, ж јд",危险区
903-01-04,hazardous event,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-01-04,"Gefährdungsereignis, n",hazardous event,suceso de peligro,"évènement dangereux, m",危険事象,위험 사상,"gevaarlijke gebeurtenis, f","zdarzenie niebezpieczne, nzdarzenie szkodliwe, n",evento perigoso,"опасни догађај, м јд",危险事件
903-01-05,hazardous situation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-01-05,"Gefährdungssituation, f",hazardous situation,situación de peligro,"situation dangereuse, f",危険状態,위험 상황,"gevaarlijke situatie, f","sytuacja zagrożenia, f",situação perigosa,"опасна ситуација, ж јд",危险处境
903-01-06,incident,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-01-06,"Zwischenfall, m",incident,incidente,"incident, m",事態,사건,"incident, n","incydent miniony, m",incidente,"инцидент, м јд",.....
903-01-07,risk,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-01-07,"Risiko, n",risk,riesgo,"risque, m",リスク,위험,"risico, n","ryzyko, n",risco,"ризик, м јд",风险
903-01-08,risk analysis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-01-08,"Risikoanalyse, f",risk analysis,análisis del riesgo,"analyse du risque, f",リスク分析リスク解析,위험 분석,"risicoanalyse, f","analiza ryzyka, f",análise do risco,"анализа ризика, ж јд",风险分析
903-01-09,risk evaluation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-01-09,"Risikobewertung, f",risk evaluation,evaluación del riesgo,"évaluation du risque, f",リスク評価,위험 평가,"risico-evaluatie, f","ocena dopuszczalności ryzyka, f",avaliação do risco,"процена ризика, ж јд",风险评价
903-01-10,risk assessment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-01-10,"Risikobeurteilung, f",risk assessment,estimación  del riesgo,"appréciation du risque, f",リスクアセスメント,위험 사정,"risicobeoordeling, f","ocena ryzyka, <całkowitego> f",estimativa do risco,"оцена ризика, ж јд",风险评估
903-01-11,residual risk,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-01-11,"Restrisiko, n",residual risk,riesgo residual,"risque résiduel, m",残留リスク,잔류 위험,"restrisico, n","ryzyko resztkowe, nryzyko szczątkowe, n",risco residual,"преостали ризик, м јд",残余风险剩余风险
903-01-12,tolerable risk,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-01-12,"vertretbares Risiko, n",tolerable risk,riesgo tolerable,"risque tolérable, m",許容可能なリスク,허용가능 위험,"aanvaardbaar risico, n","ryzyko tolerowalne, n",risco tolerável,"толерантни ризик, м јд",可容许风险
903-01-13,intended use,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-01-13,"bestimmungsgemäße Verwendung, f",intended use,utilización prevista,"utilisation prévue, f",意図される使用意図した用途,의도적 사용,"beoogd gebruik, n","użycie zgodne z przeznaczeniem, n",utilização prevista,"предвиђена употреба, ж јд",预期的使用
903-01-14,reasonably foreseeable misuse,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-01-14,"vernünftigerweise vorhersehbare Fehlanwendung, f",reasonably foreseeable misuse,mala utilizacion razonablemente previsible,"mauvais usage raisonnablement prévisible, m",合理的に予見可能な誤使用,합리적 예측가능 오용합당한 예측가능 오용,"redelijkerwijs voorzienbaar verkeerd gebruik, n","użycie niewłaściwe przewidywalne, n",má utilização razoavelmente previsível,"неправилна употреба која се може разумно предвидети, ж јд",合理预见的误用
903-01-15,single fault condition,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-01-15,"Einzelfehler, m",single fault condition,condición de avería única,"condition de premier défaut, f",単一故障状態,단일 고장 상태,"enkelvoudige fouttoestand, m","stan pojedynczego uszkodzenia, m",condição de primeiro defeito,"услови једноструког квара, м мн",单一故障状态
903-01-16,malfunction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-01-16,"Fehlfunktion, f",malfunction,mal funcionamiento,"dysfonctionnement, m",機能不良機能不全,오동작오기능,"storing, f","zakłócenie w działaniu, n",disfuncionamento,"неисправност , ж јд",功能失常
903-01-17,protective measure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-01-17,"Schutzmaßnahme, f",protective measure,medida protectora,"mesure de prévention, f",保護方策,보호조치,"beschermingsmaatregel, m","środek ochronny, m",medida de proteção,"заштитне мере, ж мн",防护措施
903-01-18,adequate protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-01-18,"angemessener Schutz, m",adequate protection,protección adecuada,"protection adéquate, f",適切な保護,적절한 보호,"aangepaste bescherming, f","zabezpieczenie adekwatne, n",proteção adequada,"одговарајућа заштита, ж јд",适度防护
903-01-19,safety,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-01-19,"Sicherheit, f",safety,seguridad,"sécurité, f",安全,안전,"veiligheid, f","bezpieczeństwo, n",segurança,"безбедност, ж јд",安全
903-01-20,safety integration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-01-20,"Sicherheitsintegrierung, f",safety integration,integración de la seguridad,"intégration de sécurité, f",安全総括,안전 총괄,"veiligheidsintegratie, f","integracja środków bezpieczeństwa, f",integração de segurança,"интеграција безбедности, ж јд",安全整合
903-01-21,normal operating condition,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-01-21,"normale Betriebsbedingung, f",normal operating condition,condición de funcionamiento normal,"condition normale de fonctionnement, f",通常動作状態,정상 동작조건정상 운전조건,"normale bedrijfstoestand, m","normalne warunki pracy , m pl",condições de funcionamento normal,"нормални радни услови, м мн",正常运行条件
903-01-22,abnormal operating condition,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-01-22,"abweichende Betriebsbedingung, f",abnormal operating condition,condición de funcionamiento anormal,"condition anormale de fonctionnement, f",異常動作状態,비정상 운전조건,"abnormale bedrijfstoestand, m","anormalne warunki pracy, m plnietypowe warunki pracy, m pl",condições de funcionamento anormal,"ненормални радни услови, м мн",异常运行条件
903-02-01,basic safety publication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-02-01,"Sicherheitsgrundnorm, fGrundnorm, f",basic safety publication,publicación básica de seguridad,"publication fondamentale de sécurité, f",基本安全規格,기본안전규격,"basisveiligheidspublicatie, f","publikacja podstawowa nt. bezpieczeństwa, f",publicação de segurança básica,"основна публикација за безбедност, ж јд",基础安全出版物
903-02-02,group safety publication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-02-02,"Fachgrundnorm, f",group safety publication,publicación  de seguridad de grupo,"publication groupée de sécurité, f",グループ安全規格,그룹안전규격집단안전규격,"groepsveiligheidspublicatie, f","publikacja grupowa nt. bezpieczeństwa, f",publicação de segurança de grupo,"публикација за безбедност групе, ж јд",多专业安全出版物
903-02-03,product safety publication,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-02-03,"Sicherheitsfachnorm, fFachnorm, f",product safety publication,publicación de seguridad de  producto,"publication de sécurité de produit, f",製品安全規格,제품안전규격,"productveiligheidspublicatie, f","publikacja indywidualna nt. bezpieczeństwa, <dla określonego wyrobu> f",publicação de segurança de produto,"публикација за безбедност производа, ж јд",产品安全出版物
903-02-04,product TC,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-02-04,"Produkt-TC, n",product TC,Comité Técnico de producto,"CE de produit, m",製品TC製品専門委員会,제품 티시제품 기술위원회,"product-TC, n","komitet techniczny ds. wyrobu, mKT wyrobu, n",CT de produto,"технички комитет за производ, м јд",产品技术委员会
903-02-05,horizontal safety function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-02-05,"Pilotfunktion, f",horizontal safety function,función horizontal de seguridad,"fonction horizontale de sécurité, f",水平安全機能,수평안전 기능,"horizontale veiligheidsfunctie, f","zadanie horyzontalne z zakresu bezpieczeństwa, n",função de segurança horizontal,"хоризонтална функција безбедности, ж јд",横向安全职能
903-02-06,group safety function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-02-06,"Gruppenfunktion, f",group safety function,función de seguridad de grupo,"fonction groupée de sécurité, f",グループ安全機能,그룹안전 기능집단안전 기능,"groepsveiligheidsfunctie, f","zadanie grupowe z zakresu bezpieczeństwa, n",função de segurança de grupo,"функција безбедности за групу, ж јд",多专业安全职能
903-02-07,normal condition,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-02-07,"Normalzustand, m",normal condition,condición normal,"condition normale, f",通常状態,정상상태,"normale toestand, m","stan normalny, m",condição normal,"нормални услови, м мн",正常状态
903-02-08,reinforced protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-02-08,"verstärkter Schutz, m",reinforced protection,protección reforzada,"protection renforcée, f",強化保護,강화보호강화방호,"versterkte bescherming, f","zabezpieczenie wzmocnione, n",proteção reforçada,"појачана заштита, ж јд",加强防护
903-03-01,hot functional surface,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=903-03-01,"heiße funktionale Oberfläche, f",hot functional surface,superficie funcional caliente,"surface fonctionnelle chaude, f",高温機能表面,고온기능 표면,"heet functioneel oppervlak, n","powierzchnia funkcyjna gorąca, f",superfície funcional quente,"врела функционална површина, ж јд",热作用表面
