term_id,term,term_url,ar,de,en,es,fi,fr,ja,ko,pl,pt,sr,zh
904-01-01,environment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-01-01,بيئة,"Umwelt, f",environment,medioambiente,ympäristö,"environnement, m",環境,환경대기,"środowisko, notoczenie, n",ambiente,"животна средина, ж јд",环境
904-01-02,environmental aspect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-01-02,منظور بيئي,"Umweltaspekt, m",environmental aspect,aspecto medioambiental,ympäristönäkökohta,"aspect environnemental, m",環境側面,환경 측면,"aspekt środowiskowy, m",aspeto ambiental,"аспект животне средине, м јд",环境因素
904-01-03,environmental impact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-01-03,أثر بيئي,"Umweltauswirkung, f",environmental impact,impacto medioambiental,ympäristövaikutus,"impact environnemental, m",環境インパクト,환경 영향,"wpływ na środowisko, mskutek oddziaływania na środowisko, m",impacto ambiental,"утицај на животну средину, м јд",环境影响
904-01-04,environmental parameter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-01-04,متغير بيئي,"Umweltparameter, m",environmental parameter,parámetro medioambiental,ympäristöparametri,"paramètre environnemental, m",環境パラメータ,환경 매개변수,"parametr środowiskowy, mparametr wpływu na środowisko, m",parâmetro ambiental,"параметар животне средине, м јд",环境参数
904-01-05,"process, <in environmental standardization>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-01-05,عملية,"Prozess, <in der Umweltnormung> m","process, <in environmental standardization>",proceso,prosessi,"processus, <en normalisation environnementale> m","プロセス, <環境規格の>","공정, <환경 표준>처리, <환경 표준>","proces, <w standaryzacji dotyczącej środowiska> m","processo, <em normalização ambiental>","процес, м јд","过程, <在标准化环境中>"
904-01-06,product category,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-01-06,فئة المنتج,"Produktkategorie, f",product category,categoría de producto,tuoteluokka,"catégorie de produit, f",製品カテゴリ,제품 범주,"kategoria wyrobu, fkategoria produktu, f",categoria de produto,"категорија производа, ж јд",产品种类
904-01-08,electronic assembly,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-01-08,تجميع إليكتروني,"elektronische Baugruppe, f",electronic assembly,conjunto electrónico,elektroniikkakokoonpano,"ensemble électronique, m",電子アセンブリ,전자부품전자조립품,"zespół elektroniczny, mmoduł elektroniczny, m",conjunto eletrónico,"електронски склоп, м јд",电子组件
904-01-09,electronic component,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-01-09,مكون إليكترونيجزء إليكترونيقطعة جزء,"elektronisches Bauelement, n",electronic componentelectronic partpiece part,componente electrónico,elektroniikkakomponentti,"composant électronique, mpièce électronique, fpièce élémentaire, f",電子コンポーネント,전자부품,"podzespół elektroniczny, mkomponent elektroniczny, m",componente eletrónico,"електронска компонента, ж јд",电子元器件
904-01-10,stakeholder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-01-10,صاحب مصلحةالطرف المعنيالطرف المهتم,"Stakeholder, minteressierte Partei, f",stakeholderinterested party,agente,sidosryhmä,"partie prenante, fpartie intéressée, f",利害関係者,이해 관계자,"interesariusz, mstrona zainteresowana, f",parte interessada,"заинтересована страна, ж јд",利益相关方
904-01-11,"emission, <into the environment>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-01-11,"إنبعاث, <فى البيئة>","Emission, <in die Umwelt> f","emission, <into the environment>",emisión,päästöemissio,"émission, <dans l'environnement> f","放出, ＜環境への＞","방출, <환경>배출","emisja, <do środowiska> f","emissão, <no ambiente>","емисија, ж јд","发射, <进入环境>"
904-01-12,design and development,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-01-12,التصميم والتطوير,"Entwurf und Entwicklung, pl",design and development,diseño y desarrollo,suunnittelu ja tuotekehitys,"conception et développement, m",設計および開発,설계및 개발,projektowanie i rozwój,conceção e desenvolvimento,"пројектовање и развој, с јд",设计和开发
904-01-13,environmentally conscious design,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=904-01-13,تصميم واعي بيئياً,"umweltbewusstes Gestalten, nECD",environmentally conscious designECD,diseño respetuoso con el medioambiente,ympäristötietoinen suunnittelu,"éco-conception, fECD, f",環境配慮設計,친환경적 설계이씨디,"projektowanie proekologiczne, nECD",projeto ambientalmente conscienteecodesign,"пројектовање са свешћу о животној средини, с јдECD",环境意识设计
